"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"545","Johnny Gaudreau","CGY","L","234","4531.35","78","166","103","63","244","76.73","654","11.93","64.3","1153","897","625","263","31","75","54","23","22","0","1","115","310","146","37","147","44","2","6","25.00"
"997","Artemi Panarin","CBJ, CHI","C, L","242","4795.8833333333","86","157","106","51","243","74.54","630","13.65","58.76","1225","896","611","169","35","52","68","31","29","2","0","68","162","158","52","189","50","3","18","14.29"
"124","Evgeni Malkin","PIT","C","208","3914.2666666667","96","146","89","57","242","76.83","619","15.51","65","1017","800","649","259","18","80","251","104","97","3","4","79","211","191","142","276","90","1206","1526","44.14"
"367","John Tavares","NYI, TOR","C","241","4771.4333333333","112","126","74","52","238","68.00","804","13.93","100.44","1404","1105","994","466","42","89","98","48","48","0","0","79","231","165","131","245","107","2569","2313","52.62"
"228","Nicklas Backstrom","WSH","C","243","4686.0333333333","66","165","89","76","231","71.08","496","13.31","51.36","835","668","482","212","9","50","114","53","52","0","1","41","174","158","136","236","114","2087","2056","50.37"
"877","David Pastrnak","BOS","R","223","4059.6333333333","107","124","77","47","231","71.52","743","14.40","72.37","1346","1037","655","240","40","66","103","48","47","1","0","100","231","136","184","363","88","8","23","25.81"
"484","Tyler Seguin","DAL","C","246","4929.6333333333","99","131","85","46","230","68.86","971","10.20","95.43","1642","1279","897","334","27","129","83","40","39","1","0","56","130","122","208","100","117","1867","1614","53.63"
"94","Brent Burns","S.J","D","246","6166.7666666667","57","169","96","73","226","60.43","953","5.98","44.22","2242","1399","481","67","33","115","120","55","54","0","1","26","395","216","238","196","383","0","1","0.00"
"603","Mark Scheifele","WPG","C","221","4657.5166666667","93","133","77","56","226","65.70","484","19.21","65.06","829","666","614","279","19","47","94","43","42","0","1","79","123","188","160","387","119","2032","2324","46.65"
"804","Aleksander Barkov","FLA","C","222","4760.65","83","143","85","58","226","68.28","604","13.74","64.63","920","785","580","268","26","62","32","16","16","0","0","74","162","231","97","337","158","2425","2234","52.05"
"982","Mitchell Marner","TOR","C, R","241","4263.6333333333","67","157","103","54","224","72.49","603","11.11","58.14","1174","852","688","195","37","73","86","41","41","0","0","59","179","230","101","293","107","71","72","49.65"
"455","Evgeny Kuznetsov","WSH","C","237","4304.4","67","147","81","66","214","69.26","550","12.18","58.58","973","770","542","247","31","47","144","72","72","0","0","57","187","133","153","149","64","1302","1776","42.30"
"286","Jakub Voracek","PHI","R","242","4616.05","60","152","96","56","212","68.17","691","8.68","60.02","1275","939","577","213","20","104","131","52","47","3","2","77","179","89","70","273","83","30","48","38.46"
"469","Vladimir Tarasenko","STL","R","238","4436.3833333333","105","104","50","54","209","72.32","867","12.11","79.1","1626","1190","877","254","48","98","51","20","18","1","1","55","94","95","227","223","108","10","10","50.00"
"951","Mikko Rantanen","COL","R","230","4432.65","80","129","73","56","209","67.20","504","15.87","51.93","891","695","471","187","21","46","110","55","55","0","0","72","97","133","120","322","114","106","107","49.77"
"1039","Auston Matthews","TOR","C","212","3831.4333333333","111","94","61","33","205","78.24","717","15.48","78.61","1236","1003","874","337","38","76","38","18","18","0","0","54","170","192","65","309","182","1380","1351","50.53"
"165","Anze Kopitar","L.A","C","239","5195.3833333333","69","135","80","55","204","72.60","506","13.64","55.59","938","713","560","243","34","72","78","38","38","0","0","69","165","140","187","264","189","2877","2451","54.00"
"299","Steven Stamkos","T.B","C","177","3268.9166666667","81","123","82","41","204","73.38","504","16.07","48.56","937","704","526","160","14","50","123","49","44","3","2","40","116","70","154","183","78","1078","965","52.77"
"808","Sean Monahan","CGY","C","234","4310.0333333333","92","112","67","45","204","67.55","612","15.03","83.78","1059","830","777","383","23","76","56","27","27","0","0","42","144","179","105","117","66","1906","1833","50.98"
"942","Jack Eichel","BUF","C","205","4138.7166666667","77","126","73","53","203","73.82","798","9.65","65.43","1347","1063","605","213","33","66","80","35","34","0","1","74","183","114","148","233","121","1254","1648","43.21"
"248","Jamie Benn","DAL","L","237","4538.9666666667","89","112","57","55","201","67.00","631","14.10","72.57","1079","837","689","340","37","82","169","73","66","7","0","60","201","162","371","192","180","798","758","51.29"
"115","Joe Pavelski","S.J","C","238","4555.75","89","109","66","43","198","67.35","645","13.80","83.51","1098","904","776","415","30","76","97","45","44","1","0","73","184","118","292","203","204","1475","1281","53.52"
"128","Alexander Radulov","DAL, MTL","R","228","4425.3666666667","74","124","80","44","198","65.78","575","12.87","63.25","1039","793","603","296","25","73","188","92","92","0","0","63","176","131","213","330","188","18","20","47.37"
"900","Brayden Point","T.B","C","229","4268.3833333333","91","107","54","53","198","63.06","531","17.14","66.4","904","716","690","334","24","53","66","30","28","2","0","58","67","121","96","272","131","1230","1332","48.01"
"954","Sebastian Aho","CAR","C, R","242","4426.5","83","114","65","49","197","71.38","657","12.63","75.53","1218","943","683","307","39","86","76","38","38","0","0","69","174","180","181","325","65","680","731","48.19"
"102","Patrice Bergeron","BOS","C","208","3978.8666666667","83","112","68","44","195","63.52","731","11.35","75.79","1247","1007","790","302","37","60","80","40","40","0","0","27","92","162","145","201","149","2659","1910","58.20"
"81","Eric Staal","MIN","C","245","4454.5333333333","92","101","61","40","193","68.68","668","13.77","69.91","1108","851","634","294","52","70","110","55","55","0","0","46","89","148","125","199","116","1790","1756","50.48"
"362","Ryan O'Reilly","BUF, STL","C","235","4932.85","72","121","75","46","193","65.87","653","11.03","63.38","1023","864","586","278","30","61","24","11","11","0","0","66","99","217","94","138","129","3399","2426","58.35"
"237","Jonathan Toews","CHI","C","228","4630.7666666667","76","115","71","44","191","66.32","646","11.76","72.01","1007","805","646","307","33","71","122","58","56","2","0","44","131","162","117","368","100","2811","2174","56.39"
"487","Mikael Granlund","MIN, NSH","C, R","237","4420.1","63","127","84","43","190","73.64","559","11.27","60.47","981","765","524","231","35","63","54","27","27","0","0","54","102","123","143","410","135","214","232","47.98"
"368","Victor Hedman","T.B","D","226","5520.6833333333","45","144","78","66","189","50.13","564","7.98","34.68","1205","836","302","64","22","60","145","71","70","1","0","46","190","117","291","272","339","1","2","33.33"
"509","Mark Stone","OTT, VGK","R","206","4048.0666666667","75","114","68","46","189","68.48","465","16.13","54.91","813","648","513","238","24","59","62","28","26","2","0","60","166","277","168","187","163","71","77","47.97"
"355","Mike Hoffman","FLA, OTT","C, L","238","4273.95","84","103","56","47","187","66.31","734","11.44","55.53","1305","983","546","170","33","72","113","51","49","1","1","43","221","144","114","178","81","47","52","47.47"
"599","Jonathan Huberdeau","FLA","C, L","195","3676.4","67","120","75","45","187","71.92","516","12.98","54.11","835","677","513","231","23","62","85","36","34","1","1","55","196","112","116","205","94","37","35","51.39"
"604","Sean Couturier","PHI","C","228","4758.1","78","108","70","38","186","58.13","570","13.68","68.86","957","790","625","311","21","69","98","42","39","2","1","60","118","141","155","340","139","1871","1519","55.19"
"628","Jonathan Marchessault","FLA, VGK","C","234","4104.1833333333","82","103","59","44","185","69.03","739","11.10","69.19","1270","978","626","206","33","72","130","65","65","0","0","62","162","174","302","283","65","478","646","42.53"
"1047","Patrik Laine","WPG","R","237","4072.15","110","74","42","32","184","63.01","690","15.94","60.77","1297","992","573","158","35","53","92","44","44","0","0","43","154","100","224","200","120","22","54","28.95"
"263","Logan Couture","S.J","C","232","4238.1166666667","86","97","65","32","183","67.53","582","14.78","58.07","1068","805","577","231","34","71","52","24","24","0","0","33","164","165","155","261","189","728","959","43.15"
"305","Josh Bailey","NYI","C, R","240","4245.5166666667","47","136","86","50","183","68.80","450","10.44","43.05","791","587","490","193","19","49","50","21","19","2","0","21","203","140","68","158","118","159","178","47.18"
"481","Taylor Hall","N.J","L","181","3496.2666666667","70","113","70","43","183","75.62","629","11.13","61.98","1059","821","611","251","44","48","82","40","40","0","0","53","152","155","153","349","104","106","118","47.32"
"93","Ryan Getzlaf","ANA","C","197","4063.05","40","142","85","57","182","75.52","388","10.31","36.89","801","601","382","138","19","44","149","62","57","3","2","33","211","166","345","193","219","1466","1409","50.99"
"667","Teuvo Teravainen","CAR","L","245","4169.4166666667","59","123","72","51","182","72.51","521","11.32","49.1","968","748","471","186","25","62","42","20","20","0","0","25","164","153","88","214","78","226","279","44.75"
"371","Brayden Schenn","PHI, STL","C","233","4360.55","70","109","65","44","179","64.86","547","12.80","71.03","935","778","679","315","22","61","134","54","47","6","1","56","120","125","454","300","110","1215","1333","47.68"
"483","Ryan Johansen","NSH","C","241","4574.2833333333","43","136","74","62","179","62.15","419","10.26","46.67","712","564","414","200","15","49","180","76","69","6","1","46","158","127","259","176","86","2395","1999","54.51"
"308","Erik Karlsson","OTT, S.J","D","201","5262.9","29","149","74","75","178","57.98","583","4.97","29.41","1373","883","321","52","20","98","86","41","41","0","0","45","255","173","169","269","390","0","1","0.00"
"341","Cam Atkinson","CBJ","R","227","4261.7","100","77","45","32","177","64.60","766","13.05","82.75","1267","1017","748","319","36","94","56","28","28","0","0","27","85","114","92","90","88","47","97","32.64"
"314","John Carlson","WSH","D","234","5672.3833333333","37","138","79","59","175","48.08","602","6.15","33.18","1225","861","323","59","29","69","76","34","33","0","1","29","272","164","159","224","437","0","1","0.00"
"477","Jeff Skinner","BUF, CAR","C, L","243","4289.8833333333","101","74","47","27","175","68.90","826","12.23","88.65","1411","1117","869","387","44","100","98","49","49","0","0","103","166","214","99","245","76","193","195","49.74"
"1036","Matthew Tkachuk","CGY","L","224","3695.2","71","103","65","38","174","71.31","537","13.22","63.87","885","735","572","353","17","73","224","83","71","8","4","126","117","114","249","262","51","21","32","39.62"
"671","Filip Forsberg","NSH","L","213","3880.7","85","87","63","24","172","68.80","630","13.49","65.55","1250","945","658","236","45","70","94","46","46","0","0","66","194","194","283","230","92","10","24","29.41"
"139","David Krejci","BOS","C","227","4009.65","60","111","71","40","171","70.08","416","14.42","44.03","752","592","426","169","33","38","60","29","29","0","0","44","125","139","99","280","110","1691","1650","50.61"
"369","Matt Duchene","CBJ, COL, OTT","C","232","4287.55","76","94","61","33","170","72.03","522","14.56","58.41","878","717","579","286","23","54","38","19","19","0","0","50","154","157","130","277","130","2080","1594","56.61"
"598","Gabriel Landeskog","COL","L","223","4467.2833333333","77","93","48","45","170","58.42","595","12.94","64.57","941","786","564","323","22","55","150","64","58","6","0","80","114","165","412","298","156","638","599","51.58"
"909","Viktor Arvidsson","NSH","L, R","216","3867.2","94","76","34","42","170","64.89","689","13.64","65.05","1174","959","621","287","54","55","90","45","45","0","0","76","98","109","71","359","120","17","49","25.76"
"868","Dylan Larkin","DET","C","238","4579.4","65","103","58","45","168","72.73","697","9.33","60.61","1225","958","620","237","35","52","173","78","74","3","1","81","232","174","223","274","102","1717","1616","51.52"
"807","Elias Lindholm","CAR, CGY","C","234","4381.4833333333","54","113","73","40","167","62.31","486","11.11","57","850","683","498","271","27","71","54","26","26","0","0","41","117","155","279","252","123","1294","1071","54.71"
"422","Anders Lee","NYI","C, L","245","4079.7333333333","102","63","40","23","165","61.34","603","16.92","81.3","937","807","725","475","30","63","158","72","68","4","0","53","90","70","377","270","123","93","96","49.21"
"259","James van Riemsdyk","PHI, TOR","L","229","3605.2333333333","92","72","37","35","164","66.13","653","14.09","75.92","1084","883","715","383","35","82","85","41","40","1","0","31","80","92","136","264","68","7","10","41.18"
"553","Vincent Trocheck","FLA","C","219","4541.6166666667","64","99","49","50","163","66.80","675","9.48","68.15","1199","982","609","212","39","67","151","74","73","1","0","90","210","183","421","336","148","2186","2016","52.02"
"623","Rickard Rakell","ANA","C, L, R","217","4004.45","85","78","49","29","163","69.66","601","14.14","61.29","1080","841","651","281","28","72","53","21","19","1","1","42","150","96","278","335","100","184","237","43.71"
"636","Torey Krug","BOS","D","221","4663.3666666667","28","135","76","59","163","54.88","556","5.04","29.11","1196","796","276","41","11","72","106","43","38","4","1","47","183","77","191","318","215","0","1","0.00"
"855","Sam Reinhart","BUF","C","243","4317","64","98","65","33","162","61.13","547","11.70","68.39","904","768","602","351","21","56","50","25","25","0","0","50","102","93","107","326","129","173","266","39.41"
"507","John Klingberg","DAL","D","226","5412.5333333333","31","130","65","65","161","49.09","481","6.44","28.61","1113","698","318","51","15","71","72","35","35","0","0","28","271","97","128","427","303","1","0","100.00"
"611","J.T. Miller","NYR, T.B","C, L","239","3837.5833333333","58","103","55","48","161","65.71","383","15.14","43.72","663","545","422","208","21","36","91","43","42","1","0","37","161","134","340","275","105","853","833","50.59"
"862","Nikolaj Ehlers","WPG","L","226","3729.6666666667","75","86","49","37","161","72.85","594","12.63","51.01","1066","817","506","183","38","42","79","38","37","1","0","95","126","102","109","259","71","6","9","40.00"
"373","Nazem Kadri","TOR","C","235","3882.1","80","80","42","38","160","64.26","631","12.68","72.44","1163","909","721","314","27","60","180","73","65","6","2","90","154","142","303","451","70","1493","1464","50.49"
"597","Ryan Nugent-Hopkins","EDM","C","226","4220.5833333333","70","90","46","44","160","70.18","559","12.52","55.96","935","712","608","261","34","59","75","36","35","1","0","51","131","153","160","221","114","1309","1566","45.53"
"179","Keith Yandle","FLA","D","246","5655.7333333333","22","137","79","58","159","48.04","556","3.96","25.2","1161","794","229","17","22","69","124","55","52","2","1","48","315","93","101","88","253","0","0","-"
"592","William Karlsson","CBJ, VGK","C","245","4164.6166666667","73","86","47","39","159","66.25","449","16.26","53.43","807","637","513","237","34","48","38","18","18","0","0","42","107","184","134","253","124","1425","1606","47.01"
"275","David Perron","STL, VGK","L","209","3639.45","57","101","63","38","158","71.82","389","14.65","37.08","699","530","413","132","22","44","150","74","74","0","0","63","71","137","257","298","61","143","194","42.43"
"316","Roman Josi","NSH","D","229","5704.2333333333","41","117","64","53","158","49.22","745","5.50","42.37","1405","976","403","77","25","81","84","38","37","0","1","37","165","82","187","277","383","0","1","0.00"
"602","Mika Zibanejad","NYR","C","210","3935.3166666667","71","87","43","44","158","67.81","567","12.52","55.06","985","796","493","220","23","50","77","32","30","1","1","50","163","154","249","265","157","1979","1931","50.61"
"169","T.J. Oshie","WSH","R","211","3860.75","76","81","47","34","157","54.90","414","18.36","53.77","753","631","529","261","20","51","103","49","48","1","0","68","110","146","352","281","159","272","324","45.64"
"759","Jake Guentzel","PIT","C, L","204","3574.05","78","79","46","33","157","70.72","479","16.28","55.41","807","649","562","290","21","56","78","38","38","0","0","51","69","97","308","423","111","83","94","46.89"
"811","Bo Horvat","VAN","C","227","4407.5","69","88","53","35","157","64.88","543","12.71","60.89","894","732","612","319","29","52","70","32","30","2","0","52","90","87","162","211","133","2551","2289","52.71"
"814","Max Domi","ARI, MTL","C, L","223","3797.0833333333","46","109","68","41","155","67.69","461","9.98","47.67","887","633","465","170","23","73","193","81","74","5","2","74","168","114","130","166","88","637","781","44.92"
"388","Tyson Barrie","COL","D","220","4966.7","35","119","72","47","154","56.20","578","6.06","29.4","1246","823","304","55","18","86","76","36","36","0","0","28","130","70","120","247","247","0","0","-"
"370","Evander Kane","BUF, S.J","L","223","4251.8666666667","87","66","33","33","153","68.61","836","10.41","74.71","1378","1091","742","377","46","95","348","118","101","6","11","75","121","122","441","335","88","267","337","44.21"
"445","Jason Zucker","MIN","L","242","3981.8333333333","76","77","48","29","153","66.81","608","12.50","62.56","1028","847","608","299","21","67","102","51","51","0","0","88","91","145","240","236","127","7","29","19.44"
"32","Justin Williams","CAR, WSH","R","244","4028.65","63","89","46","43","152","66.96","602","10.47","62.42","1024","826","558","294","20","62","150","68","65","2","1","56","217","146","162","436","115","208","267","43.79"
"440","Mats Zuccarello","DAL, NYR","C, R","208","3973.0666666667","43","109","63","46","152","65.24","471","9.13","44.45","800","636","436","186","36","46","86","39","38","0","1","53","141","177","204","222","162","37","86","30.08"
"805","Jonathan Drouin","MTL, T.B","C, L","231","4019.1666666667","52","100","60","40","152","66.67","537","9.68","42.57","947","714","452","142","23","47","72","35","35","0","0","49","171","151","160","183","66","580","779","42.68"
"122","Mark Giordano","CGY","D","241","5833.4","42","109","43","66","151","43.64","586","7.17","30.47","1354","872","316","46","20","86","191","86","82","3","1","51","154","168","229","342","489","0","0","-"
"647","Morgan Rielly","TOR","D","234","5222.4166666667","32","119","64","55","151","47.04","576","5.56","26.8","1213","806","318","42","22","61","49","23","22","1","0","29","249","128","155","316","318","0","3","0.00"
"385","Reilly Smith","FLA, VGK","R","221","4021.3","56","94","54","40","150","65.22","500","11.20","55.63","866","670","514","229","33","42","55","26","25","1","0","28","140","170","154","244","91","12","14","46.15"
"471","Jaden Schwartz","STL","C, L","209","3926.5166666667","54","96","65","31","150","66.08","519","10.40","59.03","893","712","574","251","35","57","60","30","30","0","0","38","74","151","184","282","100","115","135","46.00"
"298","Drew Doughty","L.A","D","246","6605.4333333333","30","119","61","58","149","46.86","540","5.56","29.1","1084","740","280","50","12","77","144","72","72","0","0","38","270","64","424","367","357","1","1","50.00"
"861","William Nylander","TOR","C, R","217","3503.3","49","100","61","39","149","70.28","519","9.44","50.27","989","741","585","188","28","41","58","28","28","0","0","38","109","155","62","237","48","586","554","51.40"
"88","Dustin Brown","L.A","L, R","233","4356","64","84","49","35","148","59.68","577","11.09","57.16","990","784","566","282","17","65","104","41","37","2","2","67","126","96","529","376","93","20","48","29.41"
"334","Gustav Nyquist","DET, S.J","C, R","239","4207.9333333333","55","93","57","36","148","64.63","582","9.45","57.17","985","784","600","262","19","56","50","25","25","0","0","44","153","118","155","218","79","21","19","52.50"
"467","Kevin Hayes","NYR, WPG","C, R","223","3875.2","61","87","48","39","148","71.84","471","12.95","48.81","812","619","464","224","32","49","48","24","24","0","0","32","189","167","138","185","81","1487","1574","48.58"
"312","Jordan Eberle","EDM, NYI","C, R","241","3965.5666666667","64","83","45","38","147","65.92","551","11.62","60.53","924","750","614","299","33","56","54","24","22","2","0","54","122","110","108","338","102","31","42","42.47"
"359","Kyle Palmieri","N.J","C, R","216","3804.6","77","70","37","33","147","63.09","598","12.88","57.03","1082","838","530","196","20","60","116","51","48","2","1","88","90","98","316","324","121","61","129","32.11"
"963","Mathew Barzal","NYI","C","166","2945.9666666667","40","107","58","49","147","76.56","349","11.46","35.36","553","437","384","176","12","34","82","40","40","0","0","72","205","131","47","201","87","602","825","42.19"
"323","Derek Stepan","ARI, NYR","C","235","4471.3","46","100","60","40","146","63.20","613","7.50","50.99","989","792","510","227","42","69","56","28","28","0","0","24","128","143","128","260","150","2107","2341","47.37"
"283","Mikael Backlund","CGY","C","240","4363.65","57","88","59","29","145","65.02","616","9.25","60.29","1050","839","589","254","46","48","156","67","65","0","2","29","152","216","161","155","107","1927","1993","49.16"
"806","Seth Jones","CBJ","D","228","5610.9","37","108","57","51","145","51.60","585","6.32","29.74","1159","850","262","48","18","55","82","40","40","0","0","37","168","158","259","295","375","0","0","-"
"285","Max Pacioretty","MTL, VGK","L","211","3892.1666666667","74","70","42","28","144","64.86","671","11.03","65.96","1226","939","639","251","43","99","104","52","52","0","0","39","125","107","300","375","82","55","68","44.72"
"300","Alex Pietrangelo","STL","D","229","5739.2833333333","42","101","45","56","143","46.58","565","7.43","29.93","1109","768","286","53","21","60","68","33","33","0","0","41","118","162","148","386","461","0","2","0.00"
"353","Tyler Johnson","T.B","C","227","3894.4333333333","69","73","35","38","142","60.17","479","14.41","52.61","829","678","530","221","33","56","80","40","40","0","0","47","87","78","144","203","109","1173","1141","50.69"
"381","Chris Kreider","NYR","C, L","212","3556.3","72","70","40","30","142","60.94","524","13.74","63.99","877","746","577","348","39","55","159","68","62","5","1","39","124","66","394","216","103","57","84","40.43"
"488","Nino Niederreiter","CAR, MIN","R","227","3511.4333333333","66","76","51","25","142","61.21","503","13.12","56.15","840","671","549","299","17","70","119","54","52","1","1","55","87","109","272","325","60","52","49","51.49"
"666","Tomas Hertl","S.J","C","205","3738.5","67","75","45","30","142","60.68","451","14.86","67.9","824","653","571","322","26","61","73","31","29","1","1","44","107","147","213","290","177","1441","1372","51.23"
"177","Kris Letang","PIT","D","185","4734.55","30","111","49","62","141","45.63","550","5.45","26.84","1049","725","259","51","12","68","136","64","63","0","1","41","208","146","295","319","289","0","1","0.00"
"681","Shayne Gostisbehere","PHI","D","232","4695.05","29","112","50","62","141","49.13","599","4.84","31.87","1278","869","279","41","15","91","79","38","37","1","0","51","175","61","142","160","312","0","0","-"
"82","Thomas Vanek","CBJ, DET, FLA, VAN","L","212","3009.6333333333","57","83","56","27","140","76.50","409","13.94","44.7","677","542","396","207","15","47","84","42","42","0","0","18","110","69","103","80","36","19","45","29.69"
"84","Ryan Suter","MIN","D","242","6485.2","22","116","49","67","138","39.54","449","4.90","22.6","973","649","225","49","15","64","111","54","53","1","0","20","105","80","228","144","352","1","0","100.00"
"387","Tomas Tatar","DET, MTL, VGK","C, L","244","4062.4166666667","70","68","38","30","138","63.59","535","13.08","52.58","978","754","585","224","31","50","94","44","42","2","0","52","127","131","236","256","83","20","47","29.85"
"8","Joe Thornton","S.J","C","199","3424.0333333333","36","101","52","49","137","61.71","247","14.57","28.69","428","340","233","86","9","29","99","37","32","3","2","42","171","140","101","110","63","960","892","51.84"
"356","Tyler Bozak","STL, TOR","C","231","3725.6666666667","42","94","55","39","136","58.62","440","9.55","49.63","713","585","475","236","19","48","78","38","38","0","0","31","109","119","140","201","87","1852","1513","55.04"
"646","Alex Galchenyuk","ARI, MTL","C, L","215","3435.55","55","81","44","37","136","74.32","476","11.55","49.22","868","662","460","199","20","67","80","39","39","0","0","33","130","74","131","261","103","511","651","43.98"
"158","Paul Stastny","STL, VGK, WPG","C","198","3669.4","47","88","52","36","135","62.50","374","12.57","49.63","576","504","436","259","14","44","84","42","42","0","0","28","46","103","129","130","88","2081","1691","55.17"
"282","Evgenii Dadonov","FLA","R","156","2890.15","56","79","46","33","135","60.54","383","14.62","49.7","722","568","461","206","24","36","16","8","8","0","0","27","104","91","60","199","75","2","3","40.00"
"500","Brendan Gallagher","MTL","R","228","3634.3833333333","74","61","33","28","135","63.38","767","9.65","84.87","1360","1016","787","419","62","103","122","55","53","2","0","74","82","132","285","413","87","138","169","44.95"
"585","Brandon Saad","CBJ, CHI","L","244","4246.85","65","70","47","23","135","64.59","642","10.12","68.47","1085","868","700","339","37","55","34","17","17","0","0","43","81","123","105","198","83","84","108","43.75"
"461","Brock Nelson","NYI","C","245","3948.95","64","69","33","36","133","70.00","492","13.01","50.77","848","636","586","264","25","37","107","51","50","1","0","60","119","131","151","285","155","1329","1513","46.76"
"605","Dougie Hamilton","CAR, CGY","D","245","4973.1","48","85","44","41","133","51.55","751","6.39","37.64","1526","1046","411","71","29","92","182","87","86","0","1","25","190","83","311","198","265","1","3","25.00"
"43","Mikko Koivu","MIN","C","210","3923.4333333333","40","92","45","47","132","59.73","399","10.03","41.46","698","553","413","184","15","60","102","51","51","0","0","18","61","118","96","111","150","2235","1933","53.62"
"328","Adam Henrique","ANA, N.J","C","245","4279.7166666667","62","70","45","25","132","60.83","415","14.94","52.17","730","592","490","269","23","40","80","36","35","0","1","43","83","124","227","241","200","1664","1688","49.64"
"365","Jakob Silfverberg","ANA","R","229","4091.2166666667","64","68","39","29","132","71.74","577","11.09","59.2","1022","798","599","251","51","59","66","33","33","0","0","38","108","113","137","373","150","38","73","34.23"
"822","Anthony Mantha","DET","R","207","3532.6166666667","66","66","37","29","132","69.84","521","12.67","48.7","882","706","492","222","30","43","135","42","30","9","3","41","166","99","204","180","92","44","69","38.94"
"201","Bryan Little","WPG","C","223","3722.7166666667","52","79","44","35","131","64.22","374","13.90","38.5","617","490","415","194","20","40","72","36","36","0","0","47","60","104","147","148","85","1868","1537","54.86"
"9","Patrick Marleau","S.J, TOR","C, L","246","4140.1833333333","70","60","32","28","130","54.39","555","12.61","66.96","908","763","648","335","26","43","72","36","36","0","0","23","106","105","241","300","99","376","343","52.29"
"194","Patric Hornqvist","PIT","R","209","3397.05","68","62","36","26","130","48.51","667","10.19","79.17","1005","848","706","423","32","78","112","48","46","0","2","55","43","79","514","442","160","28","34","45.16"
"264","P.K. Subban","NSH","D","211","5015.9166666667","35","95","53","42","130","49.06","517","6.77","24.47","1031","714","159","10","9","66","176","76","72","2","2","63","212","96","245","220","269","1","2","33.33"
"291","Wayne Simmonds","NSH, PHI","R","236","4148.05","72","58","35","23","130","55.32","557","12.93","81.21","958","775","642","400","22","73","276","88","68","12","8","65","104","103","428","246","142","24","31","43.64"
"268","Kyle Turris","NSH, OTT","C","209","3646.5666666667","50","79","51","28","129","65.15","408","12.25","36.35","768","570","404","132","10","55","106","46","43","2","1","37","116","82","66","193","111","1380","1270","52.08"
"529","Ryan Dzingel","CBJ, OTT","C, L","238","3780.1","63","66","44","22","129","62.62","418","15.07","44.58","691","538","466","233","14","53","94","40","36","4","0","48","98","75","185","205","78","72","109","39.78"
"810","Rasmus Ristolainen","BUF","D","230","5947.45","17","112","57","55","129","43.43","550","3.09","27.39","1044","745","246","51","17","49","144","54","47","4","3","45","150","60","636","420","393","0","0","-"
"118","Dustin Byfuglien","WPG","D","191","4898.0166666667","25","103","40","63","128","43.54","549","4.55","32.24","1052","792","281","112","28","56","288","114","103","6","5","38","203","120","407","143","275","0","0","-"
