name,position,hand,height,weight,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,salary,contractLength,birthPlace,teamName
Dillon Heatherington,D,L,76,220,21,61,69,67,72,72,71,71,64,67,67,63,25,25,600000,4,CAN,Dallas
Justin Bailey,RW,R,76,206,21,64,70,70,74,73,70,76,69,69,66,69,27,25,825000,4,USA,Dallas
Kalle Kossila,F,L,70,187,23,63,67,68,73,73,70,70,64,66,64,66,25,25,600000,4,FIN,Dallas
Mackenzie Skapski,G,L,75,192,22,70,77,73,75,75,76,79,74,72,NA,NA,27,25,650000,4,CAN,Dallas
Noel Acciari,C,R,71,205,25,64,67,70,74,73,70,76,69,69,66,69,26,25,750000,4,USA,Dallas
Ondrej Kase,F,R,72,180,21,66,67,70,72,73,70,76,69,69,66,69,26,25,775000,4,CZE,Dallas
Ryan Graves,D,L,75,192,22,61,69,67,74,72,71,71,64,67,67,63,25,25,650000,4,CAN,Dallas
Anthony Louis,C,L,67,150,21,64,66,68,73,73,74,71,64,65,64,66,25,25,600000,4,USA,Detroit
Chris Bigras,D,L,73,190,21,63,67,69,73,73,70,70,64,66,66,64,27,25,650000,4,CAN,Detroit
Gustav Olofsson,RW,L,75,197,22,61,69,67,73,72,71,71,64,67,67,63,25,25,600000,4,SWE,Detroit
Jean-Sebastien Dea,C,R,71,175,22,64,66,68,73,73,74,71,64,65,64,66,25,25,600000,4,CAN,Detroit
Matt Tomkins,G,L,75,193,22,70,77,73,74,75,76,79,74,72,NA,NA,27,25,600000,4,CAN,Detroit
Nathan Walker,LW,L,68,186,22,64,66,68,73,73,74,71,64,65,64,66,25,25,600000,4,WAL,Detroit
Carson Soucy,D,L,76,210,22,63,67,69,73,73,70,70,64,66,66,64,25,25,600000,4,CAN,Edmonton
Darnell Nurse,D,L,76,213,21,65,71,70,75,75,74,77,70,70,69,67,28,26,925000,4,CAN,Edmonton
Dylan Blujus,D,R,75,202,22,61,69,67,72,72,71,71,64,67,67,63,25,25,600000,4,USA,Edmonton
Emile Poirier,LW,L,73,195,22,64,70,70,74,73,70,76,69,69,66,69,27,25,825000,4,CAN,Edmonton
Frederick Gaudreau,C,R,72,192,23,65,69,69,74,74,73,74,67,68,67,64,27,25,750000,4,CAN,Edmonton
Nikolaj Ehlers,LW,L,72,172,20,65,72,70,76,75,76,78,71,70,70,72,29,27,975000,4,DEN,Edmonton
Trevor Carrick,D,L,74,186,22,65,68,69,74,74,69,73,68,69,69,67,27,25,750000,4,CAN,Edmonton
Anthony Mantha,RW,R,77,204,22,66,72,70,76,75,75,77,72,72,70,71,30,26,975000,4,CAN,Florida
Kasimir Kaskisuo,G,L,75,200,23,69,74,70,72,75,78,81,75,75,NA,NA,25,25,600000,4,FIN,Florida
Leon Draisaitl,C,L,73,214,21,66,72,70,77,75,75,79,74,75,68,74,35,27,1250000,4,GER,Florida
Nick Paul,LW,L,76,223,21,66,67,70,74,73,70,76,69,69,66,69,26,25,750000,4,CAN,Florida
Nick Sorensen,RW,R,73,174,22,65,67,72,73,73,70,70,64,66,65,67,26,25,625000,4,DEN,Los Angeles
Joseph Blandisi,C,L,72,200,22,66,67,70,75,73,70,76,69,69,66,69,26,25,825000,4,CAN,Monteal
Christopher Clapperton,LW,L,69,174,22,63,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,CAN,Montreal
David Pastrnak,RW,R,72,181,20,66,72,70,74,75,75,77,71,72,70,73,35,27,1150000,4,CZE,N.Y. Rangers
Devin Shore,C,L,73,205,22,67,70,70,74,75,75,77,70,70,67,70,28,25,900000,4,CAN,N.Y. Rangers
Joonas Korpisalo,G,L,75,182,22,70,76,72,75,76,79,82,76,77,NA,NA,27,25,675000,4,FIN,N.Y. Rangers
Jujhar Khaira,C,L,76,214,22,66,67,70,74,73,70,76,69,69,66,69,26,25,825000,4,CAN,N.Y. Rangers
Nikita Jevpalovs,C,R,73,210,22,64,66,68,73,73,74,71,64,65,64,66,25,25,600000,4,LAT,N.Y. Rangers
Brandon Montour,D,R,72,192,22,63,67,69,74,73,70,70,64,66,66,64,25,25,650000,4,CAN,Nashville
Charles Hudon,LW,L,70,195,22,64,67,69,73,73,74,72,66,67,67,66,27,25,750000,4,CAN,Nashville
Charlie Lindgren,G,R,74,190,22,70,76,72,74,76,79,82,76,77,NA,NA,27,25,650000,4,USA,Nashville
Damon Severson,D,R,74,205,22,65,71,72,75,76,74,77,72,70,70,68,29,27,975000,4,CAN,Nashville
Garnet Hathaway,RW,R,74,210,25,67,70,70,74,75,75,77,70,70,67,70,28,25,925000,4,USA,Nashville
Michael Garteig,G,R,73,190,25,70,77,73,74,75,76,79,74,72,NA,NA,27,25,650000,4,CAN,Nashville
Mikhail Grigorenko,C,L,75,209,22,67,72,70,76,75,75,77,72,72,70,71,35,29,925000,4,RUS,Nashville
Travis Boyd,F,R,71,184,23,58,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,USA,Nashville
Albert Yarullin,D,R,72,205,23,65,67,72,74,73,70,70,64,66,66,64,25,25,600000,4,RUS,New Jersey
Andreas Johnson,RW,L,70,183,22,64,66,68,74,73,74,71,64,65,64,66,25,25,600000,4,SWE,New Jersey
Andrew Copp,C,L,73,206,22,66,67,70,75,73,70,76,69,69,66,69,29,25,800000,4,USA,New Jersey
Ethan Prow,D,L,71,185,24,61,69,67,74,72,71,71,64,67,67,63,25,25,600000,4,USA,New Jersey
Jordan Subban,D,R,69,178,21,63,67,69,73,73,70,70,64,66,66,64,25,25,600000,4,CAN,New Jersey
Kerby Rychel,LW,L,73,213,22,64,70,70,75,73,70,76,69,69,68,70,27,25,925000,4,USA,New Jersey
Oliver Bjorkstrand,RW,R,72,177,21,64,67,70,74,73,70,76,69,69,66,69,26,25,750000,4,DEN,New Jersey
Pavel Buchnevich,F,L,73,161,21,64,67,70,74,73,70,76,69,69,65,67,26,25,700000,4,RUS,New Jersey
Sam Anas,F,R,68,155,23,58,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,USA,New Jersey
Sergei Tolchinsky,LW,L,68,170,21,64,67,70,74,73,70,76,69,69,65,67,26,25,700000,4,RUS,New Jersey
Anthony Stolarz,G,L,78,232,22,73,79,79,76,78,79,84,79,79,NA,NA,28,25,825000,4,USA,Ottawa
Chris Driedger,G,R,76,205,22,72,76,72,74,76,79,82,76,77,NA,NA,27,25,675000,4,CAN,Ottawa
Josh Anderson,RW,R,75,221,22,67,70,70,75,75,75,77,70,70,69,71,29,26,975000,4,CAN,Ottawa
Matia Marcantuoni,C,R,72,202,22,64,66,68,73,73,74,71,64,65,64,66,25,25,600000,4,CAN,Ottawa
Sebastian Collberg,RW,R,71,196,22,58,67,69,74,73,70,70,64,66,64,66,25,25,600000,4,SWE,Ottawa
Zach Sanford,LW,L,76,191,22,58,75,62,74,76,78,81,71,70,64,66,26,26,750000,4,USA,Ottawa
Anton Slepyshev,LW,R,74,187,22,65,69,70,74,74,73,75,70,69,65,68,28,25,750000,4,RUS,Phoenix
Josh Winquist,LW,L,72,180,23,64,66,68,73,73,74,71,64,65,64,66,25,25,600000,4,CAN,Phoenix
Adam Pelech,D,L,74,210,22,63,67,69,73,73,70,70,64,66,66,64,25,25,725000,4,CAN,Pittsburgh
Brendan Leipsic,C,L,69,170,22,64,70,70,75,73,70,76,69,69,66,69,27,25,825000,4,CAN,Pittsburgh
Derrick Pouliot,D,L,72,207,22,65,70,71,73,76,69,76,70,69,69,68,29,27,900000,4,CAN,Pittsburgh
Marko Dano,C,L,71,183,22,66,70,72,75,75,75,77,70,70,67,70,27,25,925000,4,AUS,Pittsburgh
Matt Murray,G,L,76,178,22,75,83,78,78,76,83,86,80,82,NA,NA,31,25,1150000,4,CAN,Pittsburgh
Taylor Leier,LW,L,70,174,22,64,67,70,74,73,70,76,69,69,65,67,26,25,700000,4,CAN,Pittsburgh
Brendan Gaunce,LW,L,74,207,22,67,70,70,76,75,75,77,70,70,67,70,28,25,925000,4,CAN,San Jose
Chris Tierney,C,L,72,195,22,66,72,70,74,75,75,77,72,72,70,71,30,26,975000,4,CAN,San Jose
Jaccob Slavin,D,L,74,205,22,67,70,71,74,73,75,76,71,70,73,68,32,27,975000,4,USA,San Jose
John Gilmour,D,L,71,180,23,63,67,69,73,73,70,70,64,66,66,64,25,25,600000,4,CAN,San Jose
Max Domi,LW,L,70,198,21,69,72,70,76,75,76,78,71,70,70,72,29,27,975000,4,CAN,San Jose
Oskar Sundqvist,RW,R,75,209,22,64,67,70,73,73,70,76,69,69,65,67,26,25,700000,4,SWE,San Jose
Tony Cameranesi,C,R,70,190,23,58,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,USA,San Jose
Anthony Duclair,LW,L,71,185,21,66,72,70,74,75,75,77,71,72,70,73,35,27,1150000,4,CAN,St. Louis
Jared McCann,C,L,72,179,20,64,70,70,74,73,70,76,69,69,66,69,27,25,825000,4,CAN,St. Louis
"Miles ""Peter"" Wood, ,",LW,L,73,160,21,64,67,70,74,73,70,76,69,69,66,69,26,25,850000,4,USA,St. Louis
Peter Cehlarik,RW,L,73,194,21,63,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,SWE,St. Louis
Robin Press,D,R,74,187,22,63,67,69,73,73,70,70,64,66,66,64,25,25,600000,4,SWE,St. Louis
Samuel Morin,D,L,79,227,21,63,67,69,73,73,70,70,64,66,66,64,25,25,600000,4,CAN,St. Louis
Viktor Crus-Rydberg,C,R,72,190,21,58,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,SWE,St. Louis
Antoine Bibeau,G,L,75,207,22,70,77,73,75,76,76,79,74,72,NA,NA,25,25,750000,4,CAN,Tampa Bay
Marcus Hogberg,G,L,76,212,22,69,74,70,74,76,78,81,75,75,NA,NA,25,25,600000,4,SWE,Tampa Bay
Patrik Sieloff,D,L,73,205,22,64,67,68,74,73,70,74,67,67,67,64,26,25,700000,4,USA,Tampa Bay
Terrence Amorosa,D,L,74,205,22,63,67,69,73,73,70,70,64,66,66,64,25,25,600000,4,CAN,Tampa Bay
Tommy Vannelli,D,R,74,181,21,63,67,69,73,73,70,70,64,66,66,64,25,25,600000,4,USA,Tampa Bay
Zach Werenski,D,L,74,214,19,65,70,71,76,76,69,76,70,69,69,68,29,27,600000,4,USA,Tampa Bay
Mark Jankowski,C,L,76,200,22,64,66,68,74,73,74,71,64,65,64,66,25,25,600000,4,CAN,Toronto
Sam Bennett,C,L,73,186,20,65,72,70,76,75,76,78,71,70,70,72,29,27,950000,4,CAN,Toronto
Adam Tambellini,C,L,75,191,22,63,67,68,73,73,70,70,64,66,64,66,25,25,625000,4,CAN,Vancouver
Daniel Altshuller,G,L,76,201,22,70,76,72,75,76,79,82,76,77,NA,NA,27,25,650000,4,CAN,Vancouver
Joel Hanley,D,L,72,193,25,65,67,72,74,73,70,70,64,66,66,64,26,25,625000,4,CAN,Vancouver
Mantas Armalis,G,L,75,198,24,68,75,71,74,76,78,81,75,74,NA,NA,25,25,600000,4,SWE,Vancouver
Vinnie Hinostroza,RW,R,71,180,22,58,75,62,74,76,78,81,71,70,64,66,26,26,750000,4,USA,Vancouver
Wade Megan,C,L,73,190,26,58,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,USA,Vancouver
Andreas Athanasiou,C,L,74,192,22,66,76,70,76,73,70,76,69,69,66,69,29,25,675000,4,CAN,Washington
Andrei Vasilevskiy,G,L,75,207,22,76,81,83,78,79,85,85,79,80,NA,NA,31,30,855000,4,RUS,Washington
Markus Nutivaara,D,L,73,186,22,67,72,72,76,75,76,75,70,70,72,68,28,25,925000,4,FIN,Washington
Matthew Benning,D,R,72,203,22,65,68,69,75,74,69,73,68,69,69,67,27,25,875000,4,CAN,Washington
Nikita Tryamkin,D,L,79,228,22,67,70,77,76,75,76,75,70,67,70,68,28,25,875000,4,RUS,Washington
Ryan Fitzgerald,C,L,70,177,22,63,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,USA,Washington
Tyler Motte,C,L,69,193,21,64,67,70,74,73,70,76,69,69,66,69,26,25,750000,4,USA,Washington
Andrew MacWilliam,D,L,74,230,26,63,67,69,72,73,70,70,64,66,66,64,27,25,650000,4,CAN,Winnipeg
Ben Betker,D,L,78,228,22,66,66,71,73,70,68,69,63,64,64,63,25,25,600000,4,CAN,Winnipeg
Jacob De La Rose,C,L,75,204,21,64,70,70,74,73,70,76,69,69,66,69,27,25,825000,4,SWE,Winnipeg
Louis-Marc Aubry,C,L,76,212,25,63,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,USA,Winnipeg
Mat Clark,D,R,75,225,26,63,67,69,73,73,70,70,64,66,66,64,25,25,600000,4,USA,Winnipeg
Sam Perhonen,G,L,75,160,23,69,74,70,74,75,78,81,75,75,NA,NA,25,25,600000,4,FIN,Winnipeg
Sam Reinhart,C,R,73,189,21,65,72,70,76,75,76,78,71,70,70,72,29,27,1150000,4,CAN,Winnipeg
