name,teamName,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld
Vladislav Namestnikov,Colorado,0,69,76,69,77,72,69,74,76,76,69,73,48,44
Andrew MacDonald,Colorado,0,65,74,71,75,67,73,74,73,73,75,68,66,64
Ben Bishop,Dallas,0,87,88,94,85,80,80,88,87,84,NA,NA,44,44
Jason Spezza,Dallas,0,66,70,73,76,66,77,70,76,76,67,72,95,89
Wayne Simmonds,Dallas,0,79,75,75,77,79,50,75,75,76,68,76,78,76
Brendan Smith,Dallas,0,77,73,74,76,70,64,72,72,71,74,68,54,49
Jordan Binnington,Edmonton,0,83,87,80,80,79,77,86,82,84,NA,NA,29,30
Alexander Steen,Edmonton,0,69,74,73,77,70,77,75,76,76,72,71,88,79
Duncan Keith,Edmonton,0,73,77,74,84,80,74,78,80,79,83,72,94,89
Ian Cole,Edmonton,0,73,72,76,76,70,68,73,72,71,76,67,57,51
Brayden Point,Florida,0,74,79,68,81,75,70,78,83,81,76,81,38,37
Leon Draisaitl,Florida,0,72,77,77,82,76,70,79,83,84,70,84,46,43
Anthony Mantha,Florida,0,70,75,79,78,75,68,76,77,76,69,78,39,37
Andreas Athanasiou,Florida,0,68,85,72,78,74,69,84,76,76,68,78,40,38
Derek Stepan,Florida,0,66,76,71,80,77,78,77,79,79,70,73,68,67
Karl Alzner,Florida,0,73,71,77,77,81,76,71,71,71,76,62,73,66
Kris Russell,Florida,0,71,76,67,77,67,76,75,73,73,77,70,77,69
Victor Rask,Florida,0,71,70,74,76,73,72,73,74,74,69,72,49,46
Jeff Skinner,LosAngeles,0,69,80,70,80,74,74,82,77,80,68,81,66,61
David Desharnais,LosAngeles,0,69,78,58,73,71,76,78,73,74,67,70,65,58
Patrik Berglund,LosAngeles,0,64,75,75,75,72,76,75,73,73,71,73,74,67
Michael Grabner,LosAngeles,0,63,78,67,75,70,78,78,73,73,69,73,66,60
Robin Lehner,LosAngeles,0,85,86,89,82,79,79,84,85,85,NA,NA,34,32
David Perron,LosAngeles,0,69,77,71,79,69,67,77,79,79,69,75,77,69
David Krejci,LosAngeles,0,75,78,70,82,69,77,79,81,82,74,75,80,77
Alex Goligoski,LosAngeles,0,70,75,68,77,80,73,74,76,76,74,71,77,74
Jordan Staal,LosAngeles,0,74,71,80,78,61,72,71,74,74,75,71,84,81
Marc Staal,LosAngeles,0,72,70,79,77,68,72,70,70,70,78,69,79,76
Ryan Dzingel,Nashville,0,69,75,71,78,74,78,74,79,78,68,77,41,39
Jakub Vrana,Nashville,0,69,74,71,77,70,70,75,77,76,70,77,35,34
Mika Zibanejad,Nashville,0,69,75,75,81,74,76,75,81,80,69,79,56,56
Jordan Eberle,Nashville,0,66,81,66,78,73,79,81,76,76,67,75,67,61
Dion Phaneuf,Nashville,0,77,70,77,78,78,60,70,72,72,74,69,93,84
Adam Henrique,Nashville,0,68,76,71,77,75,77,76,76,76,73,74,63,57
Mitch Marner,New Jersey,0,73,84,67,81,70,70,84,88,87,71,77,39,37
Andreas Johnson,New Jersey,0,68,78,72,77,73,74,77,76,76,70,74,27,27
Elias Lindholm,New Jersey,0,72,75,72,80,76,71,76,81,80,73,77,53,49
Morgan Rielly,New Jersey,0,73,79,75,82,76,75,79,84,83,77,76,54,55
Pavel Buchnevich,New Jersey,0,68,70,74,77,73,72,76,75,76,68,75,36,35
Matt Niskanen,New Jersey,0,72,74,72,80,78,71,73,77,76,79,73,81,74
Nazem Kadri,New Jersey,0,76,80,72,79,75,60,80,77,77,70,76,62,56
Tyler Johnson,New Jersey,0,67,80,64,79,70,76,80,77,77,70,78,55,51
Martin Hanzal,New Jersey,0,71,70,79,75,59,61,69,70,70,71,69,74,66
Brayden Schenn,New Jersey,0,72,78,72,80,77,69,78,78,79,69,77,64,57
Johnny Boychuk,Islanders,0,73,73,79,80,62,73,73,74,75,77,72,70,62
Joe Thornton,Islanders,0,70,68,80,78,76,71,67,79,80,73,72,99,99
James Reimer,Islanders,0,83,85,84,78,69,81,84,82,76,NA,NA,42,42
Johnny Gaudreau,Islanders,0,66,84,64,83,75,76,84,87,86,70,82,50,46
Rasmus Ristolainen,Islanders,0,73,76,75,81,73,70,76,80,80,73,72,51,48
Nicklas Backstrom,Islanders,0,71,82,72,85,79,71,82,88,88,70,75,82,79
Timo Meier,Ottawa,0,71,77,75,79,69,64,76,78,78,70,79,36,35
Josh Anderson,Ottawa,0,73,72,77,78,75,66,77,76,76,70,77,40,37
Ondrej Palat,Ottawa,0,74,75,72,78,73,71,76,77,77,74,73,53,54
Henrik Zetterberg,Ottawa,0,69,73,67,76,68,74,73,76,76,70,71,99,90
Tyler Bozak,Ottawa,0,72,76,71,77,70,77,76,76,76,71,72,68,62
Mathieu Perreault,Philly,0,70,78,64,75,68,72,78,75,75,73,73,63,57
Brandon Sutter,Philly,0,70,73,74,76,71,83,74,73,72,72,71,72,70
Patrick Maroon,Philly,0,77,72,79,76,73,60,73,74,74,70,70,55,50
Mathew Barzal,Pittsburgh,0,70,82,70,81,77,69,83,81,82,69,75,34,33
Sebastian Aho,Pittsburgh,0,69,78,70,80,75,71,78,83,82,69,81,39,37
Ryan Pulock,Pittsburgh,0,72,73,77,79,74,73,72,77,76,76,74,35,34
Mikhail Sergachev,Pittsburgh,0,70,77,74,78,70,69,78,78,77,76,72,34,33
Matt Murray,Pittsburgh,0,79,90,81,82,76,83,89,88,86,NA,NA,35,33
Anders Lee,Pittsburgh,0,73,78,79,78,79,66,76,77,77,69,80,52,58
Travis Zajac,Pittsburgh,0,64,75,72,79,73,78,75,77,76,74,74,84,81
David Backes,Pittsburgh,0,79,71,80,78,72,56,70,72,71,74,70,85,77
Shawn Matthias,Pittsburgh,0,70,69,72,73,60,72,69,70,70,69,69,67,60
Dmitry Kulikov,Pittsburgh,0,69,76,73,77,74,68,76,70,70,76,70,67,60
Sean Monahan,San Jose,0,72,76,76,82,79,78,76,81,81,71,82,54,55
Max Domi,San Jose,0,76,80,72,80,70,63,80,78,78,69,77,43,41
Jake DeBrusk,San Jose,0,71,75,72,77,69,71,75,75,75,69,77,33,32
Chris Tierney,San Jose,0,69,72,71,77,75,75,77,78,79,70,72,47,44
Jamie Benn,San Jose,0,71,79,80,84,83,63,78,82,84,71,82,72,76
Andrei Markov,San Jose,0,65,70,71,74,67,74,70,71,71,72,70,78,77
Phillip Danault,St. Louis,0,74,74,76,79,77,67,74,77,77,77,71,42,39
Nick Jensen,St. Louis,0,67,77,72,78,72,77,76,73,72,76,68,38,36
Mattias Ekholm,St. Louis,0,74,72,77,79,74,68,73,78,79,79,74,55,56
Tyler Toffoli,St. Louis,0,72,77,73,77,75,74,77,75,76,69,74,54,50
Dan Hamhuis,St. Louis,0,70,72,73,77,63,71,72,72,72,77,65,96,87
Darren Helm,St. Louis,0,74,80,69,76,64,81,80,71,72,74,70,68,61
Christian Wolanin,Tampa Bay,0,66,72,72,75,68,70,72,71,70,75,69,30,30
Mark Stone,Tampa Bay,0,71,76,80,83,75,74,76,79,80,80,80,50,51
Christian Jaros,Tampa Bay,0,73,72,75,75,67,69,72,70,70,75,68,30,30
Nick Seeler,Tampa Bay,0,73,70,74,75,65,63,69,69,69,75,67,31,30
Caleb Jones,Tampa Bay,0,75,70,75,74,65,63,70,70,70,73,68,25,25
Kyle Turris,Tampa Bay,0,68,79,69,80,78,72,79,76,76,71,73,70,63
Nick Bjugstad,Tampa Bay,0,72,72,80,76,73,72,73,75,74,69,73,53,49
Kevin Shattenkirk,Tampa Bay,0,66,76,70,77,70,67,77,78,79,75,71,64,59
Kevin Bieksa,Tampa Bay,0,77,70,75,76,66,55,71,71,71,75,66,83,74
Tomas Hertl,Toronto,0,71,74,73,79,70,74,76,79,78,70,79,50,47
Travis Sanheim,Toronto,0,71,72,74,77,70,70,73,77,77,76,73,32,31
Mark Jankowski,Toronto,0,70,75,77,77,73,75,75,75,75,72,73,34,33
Cam Talbot,Toronto,0,83,85,83,80,79,79,85,83,82,NA,NA,38,38
Corey Perry,Toronto,0,79,76,79,81,78,60,77,78,77,73,75,91,87
Mark Letestu,Toronto,0,67,74,67,74,70,85,74,70,70,68,69,67,60
Alex DeBrincat,Vancouver,0,66,78,63,79,72,70,78,79,79,69,82,34,33
James Neal,Vancouver,0,69,71,76,77,66,67,71,75,75,70,77,75,68
Joe Pavelski,Vancouver,0,72,73,72,80,82,75,72,79,79,70,81,87,88
Mike Green,Vancouver,0,69,78,72,77,61,68,78,76,76,72,73,82,73
Oskar Sundqvist,Washington,0,74,74,75,76,73,68,76,74,74,71,73,35,33
Andrei Vasilevskiy,Washington,0,84,92,88,86,79,87,93,90,87,NA,NA,36,36
Brock Boeser,Washington,0,69,75,72,79,64,75,75,78,78,69,80,34,32
Nikita Kucherov,Washington,0,70,83,71,85,76,74,83,92,91,72,85,52,49
Ryan Getzlaf,Washington,0,78,72,83,83,72,68,71,83,83,76,73,89,90
Antoine Vermette,Washington,0,68,73,68,73,75,63,74,72,72,68,70,97,87
Valtteri Filppula,Washington,0,67,74,70,77,74,78,74,75,75,73,74,87,83
Milan Lucic,Washington,0,84,70,84,77,77,59,69,72,72,71,70,82,79
Brandon Carlo,Columbus,0,76,72,82,79,70,67,72,70,70,78,68,39,37
Philipp Grubauer,Columbus,0,84,86,81,80,76,81,85,84,86,NA,NA,34,33
Rasmus Andersson,Columbus,0,74,72,74,77,68,71,72,74,74,76,69,31,30
Matthew Tkachuk,Columbus,0,80,75,77,79,70,62,75,78,79,71,80,38,41
Derick Brassard,Columbus,0,69,76,72,78,76,72,76,75,75,69,73,76,69
Carl Hagelin,Columbus,0,68,85,66,77,65,70,83,73,74,70,72,61,56
Jason Pominville,Columbus,0,66,75,68,76,77,86,74,74,73,70,73,94,84
Nate Thompson,Columbus,0,72,71,73,73,69,72,70,70,70,69,69,71,64
Danton Heinen,Minnesota,0,73,74,73,78,70,71,74,75,74,73,72,35,33
Kyle Connor,Minnesota,0,67,79,70,79,72,82,79,79,80,68,80,35,34
Travis Konecny,Winnipeg,0,74,78,67,78,75,68,77,76,76,70,77,38,37
Sam Reinhart,Winnipeg,0,67,77,71,79,76,76,77,79,79,68,76,45,42
Alex Wennberg,Winnipeg,0,72,75,73,77,73,74,75,75,76,68,69,47,44
Jack Johnson,Winnipeg,0,73,76,73,77,80,72,76,72,73,73,69,81,78
Alec Martinez,Winnipeg,0,72,73,76,78,70,76,73,75,75,75,72,63,57
