name,position,hand,height,weight,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,salary,contractLength,birthPlace,TeamName
Gustav Forsling,D,L,72,186,23,66,70,70,75,65,71,66,71,68,66,69,35,35,900000,4,SWE,Nashville
Samuel Girard,D,L,70,170,21,67,69,69,79,75,75,66,77,76,63,69,35,35,1100000,4,CAN,Nashville
Christian Fischer,RW,L,74,214,22,70,65,75,74,66,72,65,72,70,65,72,35,35,1100000,4,USA,Islanders
Jayce Hawryluk,C,L,71,196,24,74,68,73,70,65,66,69,72,66,64,71,35,35,1100000,4,CAN,Islanders
Roope Hintz,LW,L,75,220,23,74,69,76,75,66,69,68,74,73,63,71,35,35,1100000,4,FIN,Islanders
Colin White,C,L,72,191,23,66,65,71,77,64,70,68,77,73,65,71,35,35,1100000,4,USA,Rangers
Dennis Cholowski,D,L,72,197,22,64,66,72,74,66,70,69,73,73,66,74,35,35,1100000,4,CAN,Philly
Robert Thomas,C,L,72,188,20,65,65,71,74,69,70,65,77,78,63,70,35,35,1100000,4,CAN,Phoenix
Elias Pettersson,C,L,74,176,21,69,80,69,78,69,70,80,78,78,67,78,40,37,1250000,4,SWE,St. Louis
Steven Santini,D,L,74,205,25,74,69,71,75,65,69,67,68,66,65,66,35,35,900000,4,USA,San Jose
Pierre-Luc Dubois,C,L,75,218,21,75,66,76,79,75,66,66,78,80,65,76,42,42,1250000,4,CAN,Minnesota
Alex Iafallo,C,L,72,188,26,68,69,71,78,75,75,65,74,72,65,71,35,35,1100000,4,USA,OTT
Chandler Stephenson,C,L,72,208,25,66,70,76,73,65,75,67,71,68,65,66,35,35,900000,4,CAN,OTT
Jan Rutta,D,R,75,204,29,66,66,74,78,66,70,65,75,74,70,72,35,35,1100000,4,CZE,OTT
Jimmy Schuldt,D,L,73,203,24,61,68,69,69,60,70,67,69,69,70,62,35,35,750000,4,USA,MTL
Libor Sulak,D,L,74,207,26,69,68,69,69,61,64,65,60,59,70,62,35,35,750000,4,CZE,MTL
Maxim Mamin,C,L,74,206,25,70,70,70,70,61,67,66,63,61,64,67,35,35,750000,4,RUS,STL
Par Lindholm,C,L,72,183,28,71,69,70,72,69,70,66,73,70,65,61,35,35,900000,4,SWE,STL
Steven Santini,D,R,74,205,25,74,68,71,75,65,69,68,68,66,70,66,35,35,1100000,4,USA,OTT
Jayce Hawryluk,C,R,71,196,24,74,66,73,70,65,66,70,72,66,66,71,35,35,1100000,4,CAN,CAR
Gustav Forsling,D,L,72,186,23,66,67,70,75,65,71,66,71,68,70,69,35,35,900000,4,SWE,CAR
Bogdan Kiselevich,D,L,72,202,30,70,69,70,70,65,69,70,70,70,70,62,35,35,900000,4,RUS,WAS
Victor Ejdsell,C,L,77,214,24,69,70,69,69,60,70,65,69,69,63,60,35,35,750000,4,SWE,CAR
Dominik Kahun,C,L,71,175,24,64,65,69,75,71,71,68,76,73,65,71,35,35,1100000,4,CZE,CAR
Igor Ozhiganov,D,L,74,210,27,68,70,73,72,67,70,68,64,66,70,69,35,35,900000,4,RUS,CAR
Joel L'Esperance,C,L,74,215,24,69,66,69,69,61,69,70,60,56,63,69,35,35,750000,4,USA,WAS
Justin Auger,RW,L,78,232,25,69,67,69,69,61,70,68,60,59,63,60,35,35,750000,4,CAN,BOS
Clark Bishop,C,L,72,199,23,69,67,69,69,61,68,67,69,67,63,64,35,35,750000,4,CAN,VAN
Antti Suomela,C,L,72,180,26,64,67,70,70,64,70,67,70,70,64,69,35,35,900000,4,FIN,NJ
Max Veronneau,RW,L,72,193,24,62,70,69,69,60,70,68,69,69,63,69,35,35,1250000,4,CAN,TB
Ryan Kuffner,LW,L,72,186,23,65,68,69,69,60,70,67,60,59,64,60,35,35,1750000,4,CAN,WAS
Matt Luff,RW,L,74,196,22,66,66,70,70,64,70,68,69,65,63,70,35,35,900000,4,CAN,CAR
David Kampf,C,L,74,188,25,67,67,72,74,67,73,69,74,71,67,66,35,35,900000,4,CZE,SJ
Juuso Riikola,D,L,72,189,26,70,65,70,70,66,70,65,65,65,63,69,35,35,750000,4,FIN,SJ
Joseph Gambardella,C,L,70,196,26,68,70,69,69,61,70,66,69,69,66,60,35,35,750000,4,USA,MTL
Zach Whitecloud,D,L,74,209,23,61,66,69,69,60,70,68,60,61,64,62,35,35,750000,4,CAN,NJ
Matthew Highmore,C,L,71,188,24,66,67,69,69,60,70,67,60,61,64,69,35,35,750000,4,CAN,EDM
