name,teamName,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld
Clay Witt,Chicago,26,72,74,73,73,75,75,75,76,76,0,0,26,26
Daniel Ciampini,Chicago,27,64,68,64,69,65,68,66,67,68,64,67,27,27
Darren Dietz,Chicago,24,70,66,69,66,67,67,65,68,66,69,64,28,27
Duncan Siemens,Chicago,24,71,67,72,68,69,63,67,68,68,71,65,29,27
Hampus Gustafsson,Chicago,24,69,65,72,65,67,64,65,66,66,66,66,28,28
Jayson Megna,Chicago,28,69,73,71,74,71,74,73,72,73,69,70,29,28
Mark Arcobello,Chicago,29,68,76,61,74,71,76,75,73,74,66,73,33,33
Max McCormick,Chicago,25,70,70,69,68,67,65,70,70,70,67,69,29,27
Michal Kempny,Chicago,27,68,72,71,76,75,72,74,72,73,72,66,29,29
Phil Di Giuseppe,Chicago,24,72,72,70,68,70,70,72,71,70,68,71,30,28
Rob O'Gara,Chicago,24,70,67,73,71,71,67,68,68,68,71,66,29,29
Ronalds Kenins,Chicago,26,69,68,69,73,70,68,68,71,70,67,68,32,29
Sergei Kalinin,Chicago,26,68,68,72,71,72,67,68,70,69,67,70,29,29
Tom Parisi,Chicago,24,68,69,68,67,68,70,66,66,67,67,63,28,28
Tom Wilson,Chicago,23,82,66,82,75,76,45,67,74,73,70,71,33,33
Yaroslav Kosov,Chicago,24,69,67,69,68,67,68,69,66,65,66,68,28,28
Andrew Ladd,Colorado,32,72,75,77,81,79,67,75,76,76,72,75,64,74
Andrew MacDonald,Colorado,31,65,74,71,78,67,73,74,75,74,76,68,42,40
Brandon Sutter,Colorado,28,70,73,74,77,80,83,74,73,74,73,73,49,49
Cam Atkinson,Colorado,28,69,80,64,79,76,79,80,79,79,71,80,40,38
Fedor Tyutin,Colorado,34,69,74,75,74,67,73,72,71,72,74,64,64,64
Jonas Gustavsson,Colorado,33,82,83,83,79,70,76,83,74,80,0,0,38,38
Kevin Klein,Colorado,33,74,74,75,78,71,75,74,73,73,78,72,49,49
Lee Stempniak,Colorado,35,67,78,66,76,70,71,78,77,75,70,74,66,66
Mark Barberio,Colorado,27,70,71,73,75,73,72,72,71,73,75,66,30,30
Mark Letestu,Colorado,33,67,76,67,76,70,85,75,73,77,71,72,40,40
Matt Puempel,Colorado,25,71,70,72,73,68,70,70,69,70,69,71,32,28
Oliver Ekman-Larsson,Colorado,26,74,81,71,84,81,65,81,82,81,77,80,43,43
Rickard Rakell,Colorado,24,73,75,72,77,72,74,75,75,76,71,77,34,33
Ron Hainsey,Colorado,36,65,75,75,78,73,77,75,73,71,75,62,70,70
Ryan O'Reilly,Colorado,27,72,78,72,83,76,85,76,81,78,73,76,41,48
Ryan Suter,Colorado,33,81,78,78,88,78,76,78,86,79,81,70,63,64
Shayne Gostisbehere,Colorado,24,69,76,69,78,72,73,76,77,76,74,76,32,32
Sidney Crosby,Colorado,30,75,89,70,87,65,70,89,96,96,70,85,60,80
Tuukka Rask,Colorado,30,90,90,88,85,78,86,90,77,90,0,0,49,49
Zach Parise,Colorado,33,72,80,67,82,74,77,80,79,79,70,77,65,73
Zack Smith,Colorado,29,78,69,78,77,77,45,69,73,74,72,75,40,38
Andreas Martinsen,Colorado,27,74,70,75,73,71,71,73,71,72,67,70,29,27
Cal Petersen,Colorado,23,71,74,70,75,74,78,81,75,75,0,0,26,26
Cameron Johnson,Colorado,23,74,74,73,73,72,75,76,66,75,0,0,26,26
Christian Djoos,Colorado,23,66,69,71,76,75,73,74,68,69,68,68,27,27
Colton Sissons,Colorado,24,74,72,73,74,71,75,74,73,73,70,72,32,30
Dean Kukan,Colorado,24,69,68,69,68,70,68,66,68,65,68,65,29,29
