name,teamName,jersey,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,ht,wt
Jason Dickinson,Winnipeg,1,26,75,67,68,76,68,71,69,71,71,75,70,45,43,,
Lias Andersson,Winnipeg,16,22,68,66,71,73,62,66,66,67,67,66,67,35,33,,
Adam Brooks,Winnipeg,4,25,68,69,66,71,58,70,65,67,66,71,71,35,33,,
Jesperi Kotkaniemi,Winnipeg,24,21,72,75,73,76,65,70,75,72,73,66,70,36,34,,
Bobby Ryan,Winnipeg,37,34,72,72,73,76,65,68,71,72,71,66,73,88,83,,
Jaromir Jagr,Winnipeg,71,49,63,67,75,68,60,68,67,67,66,65,62,84,80,,
Braydon Coburn,Winnipeg,60,36,71,70,80,75,64,67,70,71,64,76,64,91,86,,
Thatcher Demko,Winnipeg,23,26,84,86,83,84,78,70,85,82,86,0,0,36,36,,
Mitchell Stephens,Winnipeg,3,24,67,62,68,71,61,70,68,67,65,66,63,35,33,,
Nikolay Prokhorkin,Winnipeg,10,28,62,73,69,71,64,73,68,72,64,67,65,25,27,,
Cory Schneider,Winnipeg,33,36,79,83,82,79,74,83,83,75,79,0,0,45,44,,
Adam Boqvist,Winnipeg,28,20,67,75,70,76,64,74,76,76,75,71,69,35,33,,
Aidan Muir,Winnipeg,6,26,72,62,74,72,67,68,61,70,66,68,63,28,27,,
Boone Jenner,Winnipeg,38,28,78,70,77,79,69,68,70,72,68,73,72,64,62,,
Mario Ferraro,Winnipeg,31,22,79,73,70,79,73,70,74,74,74,77,63,35,33,,
Alec Martinez,Winnipeg,58,33,72,73,76,81,65,74,73,77,78,81,74,78,75,,
Max Jones,Winnipeg,39,23,74,70,78,76,65,65,71,66,65,66,70,37,35,,
Kyle Palmieri,Winnipeg,18,30,70,74,68,78,71,68,75,73,75,68,76,72,70,,
Eric Cornel,Winnipeg,11,25,69,69,72,69,67,70,67,69,66,68,61,29,27,,
Adrian Kempe,Winnipeg,20,24,69,72,71,77,82,68,71,73,73,70,73,48,46,,
Brett Pollock,Winnipeg,22,26,68,69,72,70,70,69,67,67,70,66,65,25,26,,
Travis Hamonic,Winnipeg,32,30,75,71,74,79,65,66,71,71,70,78,70,75,73,,
Scott Laughton,Winnipeg,8,27,79,73,73,77,68,66,73,73,70,73,73,55,53,,
Luke Glendening,Winnipeg,30,32,76,72,71,76,73,70,70,69,67,75,69,71,69,,
Craig Anderson,Winnipeg,35,40,74,78,78,74,69,80,78,76,79,0,0,86,86,,
Brandon Hickey,Winnipeg,13,25,69,69,69,69,69,62,66,69,65,65,67,25,27,,
Connor Hurley,Winnipeg,29,26,68,66,70,71,65,70,63,69,70,71,68,25,25,,
Dylan Sikura,Winnipeg,40,26,67,70,69,72,59,70,68,65,64,66,70,35,33,,
Kevan Miller,Winnipeg,12,33,77,70,75,78,63,66,70,73,70,78,64,60,58,,
Ryan Collins,Winnipeg,42,25,73,63,76,71,65,63,64,69,68,69,64,25,25,,
Travis Konecny,Winnipeg,34,24,71,80,68,77,76,68,79,79,82,68,75,50,48,,
Jacob De La Rose,Winnipeg,19,26,74,69,72,72,64,69,73,67,65,69,62,45,43,,
Sam Reinhart,Winnipeg,36,25,66,74,72,81,81,77,74,76,78,66,80,57,55,,
Charlie McAvoy,Winnipeg,46,23,76,77,70,82,66,68,76,80,82,77,72,42,40,,
Casey Cizikas,Boston,71,30,77,73,75,75,67,68,71,68,67,73,71,70,68,,
Anton Rodin,Boston,6,30,63,71,62,65,60,70,72,68,65,64,60,36,34,,
Bryan Rust,Boston,26,29,72,75,68,80,68,71,73,77,78,72,81,57,55,,
Anthony Duclair,Boston,16,25,67,70,72,77,67,70,73,77,76,71,75,53,51,,
Duncan Keith,Boston,14,37,71,74,72,80,76,72,75,75,76,77,70,98,93,,
Erik Haula,Boston,57,30,69,76,74,77,64,69,74,73,71,72,72,63,61,,
Drew Shore,Boston,25,30,63,68,70,71,56,70,68,60,59,60,60,41,39,,
Sean Couturier,Boston,3,28,69,74,77,81,72,71,73,81,85,77,80,73,71,,
Joonas Korpisalo,Boston,8,28,86,85,82,80,78,78,85,79,86,0,0,44,44,,
P.E Bellemare,Boston,39,36,68,77,74,74,76,72,76,68,68,77,71,73,71,,
Mark Letestu,Boston,55,36,65,70,69,69,56,77,70,60,59,65,60,74,72,,
Trevor Van Riemsdyk,Boston,10,29,66,72,74,75,65,74,72,72,69,73,66,57,55,,
Jordan Binnington,Boston,33,28,90,89,90,86,80,80,90,85,93,0,0,42,42,,
Radko Gudas,Boston,75,31,83,66,78,77,74,61,66,73,73,77,66,68,66,,
Jamie Oleksiak,Boston,21,28,79,67,84,77,69,65,71,73,72,77,70,56,54,,
Chris Vande Velde,Boston,22,35,70,72,70,74,71,68,71,71,71,66,69,30,30,,
Carter Hutton,Boston,31,36,80,83,81,80,78,80,86,78,86,0,0,58,58,,
Nick Holden,Boston,30,34,73,70,75,77,65,75,70,70,69,73,67,70,68,,
Blake Wheeler,Boston,41,34,75,73,79,80,79,67,73,83,81,69,76,96,91,,
Klas Dahlbeck,Boston,11,30,68,67,74,68,60,68,70,67,64,66,63,45,43,,
Zach Whitecloud,Boston,13,24,72,70,75,77,64,70,72,72,73,74,64,35,33,,
Alexander Burmistrov,Boston,20,29,64,72,67,67,60,69,74,66,63,63,64,54,52,,
Mikhail Vorobyov,Boston,18,25,71,71,70,61,70,69,67,69,67,66,67,26,25,,
Michael Raffl,Boston,48,32,72,70,70,74,65,68,70,71,69,70,68,68,66,,
Oscar Dansk,Boston,19,28,77,80,81,75,74,71,79,79,79,0,0,34,34,,
Marco Scandella,Boston,27,31,71,71,76,78,66,71,70,73,70,75,70,74,72,,
Christoffer Ehn,Boston,2,25,68,64,72,72,65,75,65,64,63,68,63,37,35,,
Justin Auger,Boston,4,27,65,66,69,65,60,70,66,60,60,62,60,35,33,,
Travis Sanheim,Boston,42,25,68,75,70,80,82,72,76,73,75,76,71,46,44,,
Marian Gaborik,Boston,52,39,63,72,69,68,60,71,73,66,66,62,67,77,75,,
Brendan Gallagher,Boston,12,29,71,76,75,77,65,68,74,74,76,71,80,68,66,,
Nick Cousins,Boston,1,27,71,73,70,75,76,67,73,73,73,66,69,55,53,,
Jakob Chychrun,Buffalo,2,23,73,77,74,82,66,69,77,77,78,75,81,45,43,,
Andrew Copp,Buffalo,37,26,71,72,77,78,70,75,73,76,72,76,73,56,54,,
Adam Erne,Buffalo,17,26,75,72,75,74,65,65,70,69,69,64,70,45,43,,
Adam Larsson,Buffalo,18,28,81,74,76,79,69,69,74,73,68,77,68,69,67,,
Brian Boyle,Buffalo,35,36,76,67,79,74,65,63,67,71,68,67,72,87,83,,
Tony Cameranesi,Buffalo,15,28,60,67,69,73,73,70,70,64,66,64,66,26,26,,
Logan Stanley,Buffalo,4,23,71,69,77,73,65,64,69,71,65,69,64,35,33,,
Devan Dubnyk,Buffalo,38,35,82,84,87,77,74,77,85,81,84,0,0,69,68,,
Esa Lindell,Buffalo,7,27,75,73,75,82,83,76,76,73,75,83,71,54,52,,
Joakim Ryan,Buffalo,20,28,64,69,72,75,62,75,69,67,63,70,63,42,40,,
Sam Gagner,Buffalo,89,31,64,73,65,76,64,69,73,71,70,71,72,83,79,,
Dylan McIlrath,Buffalo,42,29,70,68,76,70,58,49,68,60,59,69,62,39,37,,
Nico Hischier,Buffalo,5,22,71,78,70,79,65,74,77,75,73,72,74,40,38,,
Corey Perry,Buffalo,63,36,72,70,77,75,65,62,70,72,73,66,70,94,89,,
Hunter Shinkaruk,Buffalo,34,26,63,71,67,66,60,70,70,65,65,61,60,35,33,,
Tomas Jurco,Buffalo,26,28,63,68,71,71,58,69,69,68,70,65,60,46,44,,
Marc Methot,Buffalo,39,36,69,68,77,69,57,68,70,60,59,70,62,76,74,,
Victor Rask,Buffalo,52,28,65,66,73,75,65,77,70,72,70,66,70,61,59,,
Dmitry Kulikov,Buffalo,22,30,75,74,72,78,65,68,75,72,67,74,63,78,75,,
Malcolm Subban,Buffalo,13,28,80,83,80,77,79,79,83,84,83,0,0,39,39,,
Andrew Cogliano,Buffalo,40,34,70,74,66,75,78,70,74,69,68,73,67,96,91,,
Kyle Clifford,Buffalo,16,30,73,69,78,72,72,52,69,67,65,67,68,78,75,,
Linus Ullmark,Buffalo,31,28,84,86,84,81,77,77,86,82,85,0,0,41,41,,
Carl Dahlstrom,Buffalo,41,26,66,70,68,76,61,70,71,72,66,71,62,35,33,,
Spencer Martin,Buffalo,19,26,77,77,77,75,74,78,77,75,75,0,0,31,31,,
Emil Pettersson,Buffalo,21,28,63,73,65,74,72,66,72,68,67,64,66,27,27,,
Vitek Vanecek,Buffalo,23,26,83,85,83,79,75,85,83,79,83,0,0,34,34,,
Jake Virtanen,Buffalo,24,24,77,76,76,75,66,63,76,66,66,65,72,48,46,,
Andreas Englund,Buffalo,44,25,71,69,69,71,59,62,70,71,69,69,62,35,33,,
Haydn Fleury,Buffalo,28,24,70,73,74,74,64,77,73,67,65,71,69,40,38,,
Michael Leighton,Calgary,32,34,78,78,79,74,70,74,78,70,78,0,0,43,43,,
Adam Gaudette,Calgary,13,24,66,73,67,73,65,67,73,72,73,65,71,39,37,,
Chris Lawrence,Calgary,48,35,64,65,70,66,67,53,64,65,64,49,59,27,27,,
Kailer Yamamoto,Calgary,4,22,73,78,65,77,63,69,78,74,71,71,73,35,33,,
Ryan Lindgren,Calgary,6,23,76,74,76,79,64,66,75,73,73,78,63,36,34,,
Alexander Barabanov,Calgary,31,27,66,74,68,71,62,70,73,71,67,66,70,35,33,,
Anders Lindback,Calgary,50,33,74,77,70,70,70,72,75,72,75,0,0,48,48,,
Chase Priskie,Calgary,15,26,67,67,69,70,69,62,69,59,65,69,69,26,27,,
Jesse Puljujarvi,Calgary,17,23,72,74,74,76,65,70,73,70,72,69,73,40,38,,
Matt Moulson,Calgary,47,37,63,72,72,66,60,77,72,60,58,62,60,79,76,,
Yegor Korshkov,Calgary,18,25,69,62,75,61,64,69,68,61,68,66,62,25,25,,
Colin Greening,Calgary,22,35,69,74,75,68,60,67,74,67,67,62,67,58,56,,
Shawn Matthias,Calgary,71,33,64,69,72,67,60,69,69,63,63,65,62,70,68,,
Chris Wagner,Calgary,80,30,77,70,76,74,68,65,70,65,64,70,66,57,55,,
Dale Weise,Calgary,44,32,79,72,71,71,63,62,71,70,67,66,65,67,65,,
Jonathan Ericsson,Calgary,64,37,69,69,76,74,63,66,69,62,59,74,64,82,79,,
Nolan Patrick,Calgary,20,22,68,74,73,75,70,69,74,70,71,65,67,39,37,,
Kyle Wood,Calgary,26,25,72,67,74,70,75,72,69,69,69,66,68,25,25,,
Rushan Rafikov,Calgary,24,26,71,69,71,67,69,73,62,68,70,69,70,30,25,,
Ben Thomas,Calgary,25,25,66,68,70,69,57,70,70,60,62,69,62,35,33,,
Blake Siebenaler,Calgary,27,26,73,68,73,71,67,62,68,70,68,68,69,27,25,,
Mikey Eyssimont,Calgary,28,25,65,67,68,68,71,71,67,67,69,68,68,29,28,,
Artemi Panarin,Carolina,39,29,65,83,67,81,69,75,83,90,86,67,82,60,58,,
Andre Burakovsky,Carolina,9,26,66,79,73,76,69,72,79,78,81,69,78,57,55,,
Aaron Ekblad,Carolina,10,25,71,75,76,84,67,69,76,78,79,79,78,59,57,,
Jack Johnson,Carolina,5,34,77,74,73,77,65,70,75,67,65,73,67,90,85,,
Max Domi,Carolina,13,26,70,79,72,77,84,64,78,75,75,65,73,57,55,,
Kristopher Letang,Carolina,65,34,76,80,69,85,68,69,80,86,82,77,78,86,82,,
Patrik Laine,Carolina,2,23,70,78,74,79,73,70,78,76,77,65,77,49,47,,
Claude Giroux,Carolina,31,33,66,77,71,80,81,71,76,81,84,73,76,93,88,,
Michael Grabner,Carolina,54,33,67,79,67,74,64,76,79,66,65,75,72,75,73,,
Jayce Hawryluk,Carolina,1,25,74,69,73,72,63,66,70,69,67,65,67,36,34,,
Matt Calvert,Carolina,40,31,70,72,70,76,65,65,72,71,70,78,67,69,67,,
Cam Atkinson,Carolina,25,32,66,82,66,80,67,76,81,75,74,73,76,75,73,,
Zack Kassian,Carolina,26,30,79,69,84,75,65,53,69,71,67,64,70,68,66,,
Jake Muzzin,Carolina,12,32,78,70,78,80,69,69,71,78,75,82,71,75,73,,
Kurtis Gabriel,Carolina,15,28,73,67,72,68,59,45,68,62,61,70,62,37,35,,
Ville Husso,Carolina,3,27,79,80,82,76,70,75,79,77,79,0,0,34,34,,
Tuukka Rask,Carolina,41,35,88,90,88,83,78,86,91,85,95,0,0,78,78,,
Andrej Sekera,Carolina,46,35,67,76,74,76,65,77,75,69,65,76,67,86,82,,
Anze Kopitar,Carolina,32,33,69,76,79,83,83,76,76,82,82,78,74,95,90,,
Daniel Audette,Carolina,7,25,70,57,66,69,69,69,71,69,70,63,70,27,25,,
Matt Grzelcyk,Carolina,11,27,69,77,69,78,65,68,76,75,78,74,71,47,45,,
Ryan Suter,Carolina,35,36,67,70,78,83,83,72,71,79,76,80,71,98,93,,
Joe Hicketts,Carolina,8,25,71,70,62,71,57,70,70,65,64,71,62,35,33,,
Gustav Forsling,Carolina,34,25,68,72,70,78,65,74,72,74,73,77,73,40,38,,
Victor Ejdsell,Carolina,20,26,66,68,69,68,60,70,64,66,64,62,60,35,33,,
Jordan Greenway,Carolina,16,24,73,76,78,76,81,65,75,77,72,69,69,42,40,,
Mackenzie Blackwood,Carolina,14,25,86,88,86,82,79,82,87,83,87,0,0,37,37,,
Yakov Trenin,Carolina,24,24,74,70,69,72,64,66,63,70,65,69,68,35,33,,
Shane Gersich,Carolina,18,24,65,66,69,65,60,70,64,68,66,67,60,35,33,,
Dominik Kahun,Carolina,21,26,63,73,69,75,68,78,73,72,68,65,72,43,41,,
Artem Anisimov,Carolina,53,33,65,73,73,75,65,73,73,73,71,66,71,83,79,,
Ben Hutton,Carolina,45,28,69,72,74,78,65,73,71,73,72,74,67,56,54,,
Matt Luff,Carolina,23,24,65,66,69,72,61,70,68,64,63,63,67,35,33,,
Ilya Sorokin,Carolina,36,26,81,80,78,76,75,79,81,80,82,0,0,33,33,,
Roland McKeown,Carolina,37,25,65,67,70,67,60,47,69,67,68,64,61,35,33,,
Jack Eichel,Carolina,27,24,70,76,76,84,65,72,74,84,86,68,80,51,49,,
Dylan Larkin,Carolina,17,24,72,86,70,83,71,68,82,78,76,68,75,54,52,,
Elvis Merzlikins,Carolina,43,27,81,85,82,79,77,78,84,80,85,0,0,36,36,,
Sean Walker,Carolina,28,26,69,74,72,77,65,72,74,74,73,71,71,42,40,,
Christian Dvorak,Carolina,48,25,69,72,69,79,65,75,71,73,73,71,74,49,47,,
Daniel Brickley,Carolina,42,26,68,72,72,69,56,70,71,69,69,69,62,35,33,,
Mackenzie MacEachern,Carolina,30,27,71,69,74,70,63,63,69,64,64,69,67,39,37,,
Jonny Brodzinski,Carolina,47,28,68,65,71,72,57,70,66,62,61,62,71,37,35,,
Jean-Gabriel Pageau,Chicago,44,28,78,74,68,79,65,70,73,73,73,77,75,62,60,,
Alexander Radulov,Chicago,47,35,69,79,75,79,65,66,79,80,84,72,77,60,58,,
Brady Tkachuk,Chicago,16,21,89,70,75,79,77,60,70,75,73,68,76,38,36,,
Alex Biega,Chicago,26,33,73,73,68,74,63,68,72,72,69,70,63,54,52,,
Cody Ceci,Chicago,5,27,71,69,77,78,68,77,70,73,70,78,68,64,62,,
Josh Brown,Chicago,18,27,77,69,77,74,64,62,70,67,61,72,65,40,38,,
Patrice Bergeron,Chicago,46,35,72,74,73,79,68,70,74,79,83,80,84,94,89,,
Jordie Benn,Chicago,13,33,68,71,75,76,65,70,73,73,73,74,65,72,70,,
Dan Sexton,Chicago,15,34,63,77,62,67,60,72,77,66,65,60,64,46,44,,
Magnus Paajarvi,Chicago,19,30,69,73,70,75,81,76,73,68,67,73,71,62,60,,
Jiri Sekac,Chicago,68,29,66,72,70,67,60,69,71,65,65,64,61,41,39,,
Victor Hedman,Chicago,21,30,71,79,86,83,72,68,78,88,85,88,77,83,79,,
Sidney Crosby,Chicago,87,33,71,83,71,82,66,69,83,85,86,71,82,87,83,,
Patrick Eaves,Chicago,7,37,69,70,65,69,57,70,71,60,59,61,60,70,68,,
Bo Horvat,Chicago,33,26,71,72,76,82,83,74,72,77,75,73,78,60,59,,
Evgeny Dadonov,Chicago,74,32,67,75,68,78,82,80,75,77,75,67,76,56,54,,
Vladimir Tarasenko,Chicago,91,29,71,79,73,78,63,74,78,79,77,65,78,65,63,,
Ilya Kovalchuk,Chicago,29,38,68,74,72,75,65,71,74,74,74,66,72,71,69,,
Darren Dietz,Chicago,11,27,69,66,69,67,60,61,65,68,67,65,66,35,33,,
Pekka Rinne,Chicago,45,39,82,80,84,79,74,74,89,78,84,0,0,91,91,,
Darren Helm,Chicago,73,34,69,78,69,76,66,70,78,68,65,72,67,83,79,,
Phil Di Giuseppe,Chicago,20,28,72,70,70,67,70,68,68,67,69,67,68,31,29,,
Alexander Georgiev,Chicago,9,26,85,86,81,80,78,80,85,85,84,0,0,29,29,,
Max McCormick,Chicago,15,29,70,68,67,69,59,51,68,64,63,61,69,40,38,,
Andy Greene,Chicago,17,38,69,73,69,78,77,76,73,71,67,76,64,97,92,,
Tom Parisi,Chicago,22,28,68,67,69,68,66,70,66,68,65,69,64,28,28,,
Duncan Siemens,Chicago,8,27,69,70,68,67,60,55,69,65,60,69,65,35,33,,
Ryan McDonagh,Chicago,14,32,72,77,79,80,67,73,77,74,74,85,69,79,76,,
James Neal,Chicago,34,33,69,69,76,75,65,67,69,71,73,66,74,88,83,,
Kari Lehtonen,Chicago,38,38,79,78,79,79,62,76,78,77,77,0,0,60,58,,
Matt Hunwick,Chicago,41,36,64,74,70,69,58,71,74,69,69,69,62,72,70,,
Shea Weber,Chicago,63,35,74,72,83,82,66,69,73,74,76,84,78,92,87,,
Yaroslav Kosov,Chicago,4,28,70,68,70,70,68,68,68,66,67,69,68,31,29,,
Tomas Nosek,Colorado,60,28,70,70,76,76,65,70,70,72,71,73,71,49,47,,
David Rittich,Colorado,39,29,82,85,83,77,76,80,84,84,83,0,0,44,44,,
Jakob Silfverberg,Colorado,15,30,67,74,71,78,69,73,74,72,72,73,74,71,69,,
Erik Gudbranson,Colorado,84,29,81,72,78,77,65,62,72,71,62,76,66,67,65,,
Victor Mete,Colorado,26,23,66,75,68,76,65,76,75,73,73,71,67,40,38,,
Colin Miller,Colorado,63,28,74,73,73,77,65,67,73,74,76,73,68,54,52,,
Louie Belpedio,Colorado,2,25,69,67,70,69,55,70,70,60,59,69,62,35,33,,
Kirby Dach,Colorado,5,20,69,73,77,78,64,71,74,75,73,69,68,35,33,,
Rinat Valiev,Colorado,33,26,65,69,70,66,60,70,66,60,61,64,61,35,33,,
Anthony Cirelli,Colorado,10,23,72,77,73,79,77,71,76,75,74,77,72,41,39,,
William Karlsson,Colorado,41,28,69,76,73,80,78,79,76,79,80,76,74,61,59,,
Paul Stastny,Colorado,37,35,69,73,72,79,68,69,72,75,76,69,73,91,86,,
Ryan Graves,Colorado,17,26,76,71,76,77,65,66,72,73,74,81,68,41,39,,
Conor Garland,Colorado,1,25,68,78,67,78,65,70,79,78,78,66,76,41,39,,
Erik Gustafsson,Colorado,30,32,68,75,68,75,65,80,75,73,74,70,69,43,41,,
Patrick Marleau,Colorado,16,41,67,75,67,76,81,76,75,69,68,66,68,99,94,,
Filip Chytil,Colorado,12,21,66,75,74,77,66,76,74,73,74,70,72,37,35,,
Vladislav Namestnikov,Colorado,91,28,74,73,69,77,75,68,71,72,69,73,72,62,60,,
Tim Heed,Colorado,7,30,65,70,73,73,63,75,70,72,72,70,65,42,40,,
Jeff Carter,Colorado,47,36,70,71,75,78,72,69,71,72,72,69,75,93,88,,
Darcy Kuemper,Colorado,51,31,92,89,88,82,77,82,89,84,89,0,0,53,53,,
Dominik Simon,Colorado,11,26,68,72,69,74,65,72,70,67,65,67,65,42,40,,
Cal Petersen,Colorado,27,27,82,85,83,77,77,78,82,81,79,0,0,36,36,,
Anton Stralman,Colorado,66,34,70,72,71,79,65,74,73,73,71,75,70,87,83,,
Tyler Johnson,Colorado,18,30,67,78,64,76,78,72,78,73,73,68,73,70,68,,
Kyle Turris,Colorado,4,31,66,73,68,76,65,69,72,72,72,68,68,80,77,,
Maxim Letunov,Colorado,34,25,65,57,65,69,56,70,59,60,62,69,69,35,33,,
Pheonix Copley,Colorado,9,30,75,81,78,76,76,76,80,78,81,0,0,38,38,,
Christian Djoos,Colorado,19,26,63,69,71,75,63,75,74,73,72,69,67,41,39,,
Robert Hagg,Colorado,8,26,80,71,72,75,65,67,74,73,70,72,69,45,43,,
Dean Kukan,Colorado,3,27,67,70,70,75,63,72,70,73,70,70,64,40,38,,
Anthony Angello,Colorado,13,25,71,71,71,69,59,64,70,65,66,63,67,35,33,,
Filip Hronek,Colorado,14,23,70,75,69,82,66,70,76,78,76,75,69,39,37,,
Brendan Lemieux,Colorado,29,25,82,70,74,72,66,45,70,70,69,64,68,42,40,,
Oskar Lindblom,Colorado,21,24,68,72,69,76,65,75,72,70,69,72,73,40,38,,
Colton Sissons,Colorado,40,27,71,70,75,76,69,69,71,69,68,75,71,55,53,,
Michael Rasmussen,Colorado,25,22,74,66,75,75,65,66,66,71,69,65,67,35,33,,
Jon Gillies,Colorado,36,28,72,78,77,75,77,78,80,78,78,0,0,34,34,,
Tyson Jost,Colorado,22,23,68,77,68,75,73,69,76,72,73,74,70,44,42,,
Oliver Ekman-Larsson,Colorado,20,29,74,81,71,81,72,69,81,78,76,73,73,79,76,,
Zack MacEwen,Colorado,24,24,77,68,72,70,60,47,69,63,60,64,65,35,33,,
Felix Sandstrom,Colorado,35,25,70,74,72,70,67,69,75,68,75,0,0,30,30,,
Ryan Kesler,Dallas,72,36,70,70,70,75,65,65,70,64,65,70,67,85,81,,
Terrence Amorosa,Dallas,7,27,64,67,70,70,68,71,69,70,67,64,65,28,29,,
Brendan Smith,Dallas,23,32,77,70,74,75,66,61,70,72,67,71,70,69,67,,
Adam Lowry,Dallas,37,28,80,69,75,77,67,68,70,71,70,76,70,61,59,,
Sam Bennett,Dallas,8,25,78,74,75,78,65,62,74,72,72,71,72,54,52,,
Riley Nash,Dallas,59,32,69,73,73,73,66,73,73,69,68,69,64,72,70,,
Troy Stecher,Dallas,6,27,68,76,68,76,70,70,76,73,73,71,69,52,50,,
Dion Phaneuf,Dallas,47,36,74,68,75,75,65,64,68,71,62,70,63,87,83,,
Austin Watson,Dallas,53,29,86,68,74,74,64,55,68,71,69,71,69,55,53,,
Tyler Gaudet,Dallas,14,28,63,67,71,68,60,70,67,67,65,67,60,35,33,,
Michael Ferland,Dallas,27,29,74,68,73,74,64,65,68,72,71,65,70,53,51,,
Marcus Sorensen,Dallas,44,29,69,68,73,74,65,69,70,70,68,70,67,49,47,,
Jonathan Quick,Dallas,40,36,80,80,84,78,74,85,84,80,84,0,0,86,86,,
Adam McQuaid,Dallas,55,34,70,68,72,73,64,58,70,67,62,72,66,69,67,,
Braden Holtby,Dallas,1,32,84,80,86,80,78,83,86,83,84,0,0,70,70,,
Dillon Heatherington,Dallas,21,26,67,70,68,69,56,45,70,69,69,69,62,35,33,,
Jakub Kovar,Dallas,2,34,77,79,76,76,77,78,77,78,78,0,0,32,32,,
Christian Thomas,Dallas,60,29,63,70,65,65,60,67,66,68,68,65,60,36,34,,
Milan Lucic,Dallas,33,33,79,66,82,75,80,60,66,72,72,68,70,93,88,,
Kalle Kossila,Dallas,11,28,66,67,68,69,57,70,68,60,56,69,69,35,33,,
Lawson Crouse,Dallas,9,24,83,70,79,75,76,64,69,71,68,71,69,46,44,,
Nazem Kadri,Dallas,46,30,71,78,72,78,67,65,78,76,79,69,74,75,73,,
Niklas Tikkinen,Dallas,4,27,68,63,66,68,69,61,67,60,65,71,70,26,25,,
Cedric Paquette,Dallas,32,27,81,70,75,75,69,60,70,67,67,72,68,57,55,,
Mason Raymond,Dallas,26,35,62,77,65,65,60,71,78,60,60,61,60,69,67,,
Tyler Ganly,Dallas,5,27,65,67,67,70,71,71,63,63,64,62,68,25,26,,
Ian Cole,Detroit,24,32,73,70,76,76,72,64,70,74,72,75,65,73,71,,
Michael Dal Colle,Detroit,5,25,68,62,70,73,64,75,65,69,69,67,65,37,35,,
Quinn Hughes,Detroit,1,21,66,80,67,81,65,74,80,88,86,69,70,35,33,,
