name,teamName,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld
Brett Pesce,Anaheim,24,71,72,77,78,77,77,77,75,74,78,71,32,30
Cliff Watson,Anaheim,25,68,67,69,65,68,66,65,65,66,66,64,28,28
David Honzik,Anaheim,25,74,73,70,72,74,74,74,75,75,NA,NA,28,28
Garret Haar,Anaheim,25,68,66,68,65,68,66,64,64,66,66,64,28,28
Jake Guentzel,Anaheim,24,70,77,74,77,77,69,77,75,76,70,76,31,31
Kurtis Gabriel,Anaheim,25,74,69,72,69,68,60,70,69,69,68,69,28,27
Logan Nelson,Anaheim,25,69,66,68,68,68,70,65,64,65,63,66,28,28
Martin Frk,Anaheim,25,70,72,69,70,70,70,67,70,70,65,70,27,27
Patrik Hersley,Anaheim,32,68,66,71,66,67,68,64,66,65,67,66,28,28
Phillip Lane,Anaheim,26,70,66,70,69,68,66,65,66,66,65,65,28,28
Rocco Grimaldi,Anaheim,26,70,72,66,69,70,72,72,71,70,68,70,29,29
Stefan Matteau,Anaheim,24,65,67,70,74,73,68,75,69,69,66,69,28,27
Teuvo Teravainen,Anaheim,24,70,77,74,77,77,79,78,76,75,72,76,34,31
Tucker Poolman,Anaheim,25,70,68,70,70,67,68,68,68,68,70,66,28,28
Tyler Lewington,Anaheim,24,65,68,71,74,73,70,70,64,66,66,65,27,27
Valeri Vasiliev,Anaheim,24,64,67,69,73,73,70,70,64,66,66,62,27,27
Ben Smith,Boston,30,67,73,71,75,71,79,73,72,71,69,70,32,30
Blake Wheeler,Boston,32,73,77,83,83,84,69,76,86,82,72,76,52,52
Brandon Mashinter,Boston,30,70,66,73,72,69,67,67,70,70,68,66,27,27
Brendan Gallagher,Boston,26,74,78,69,77,71,68,77,78,77,73,77,36,31
Brent Seabrook,Boston,33,72,75,81,80,78,75,76,77,76,79,74,68,68
Brian Strait,Boston,31,70,69,70,72,69,66,70,71,70,72,65,29,29
Bryan Rust,Boston,26,73,75,72,76,67,74,74,74,74,72,73,31,29
Cal Heeter,Boston,30,76,75,75,75,72,78,75,74,74,NA,NA,30,30
Carter Hutton,Boston,33,84,86,81,82,78,82,86,76,86,NA,NA,37,31
Craig Anderson,Boston,37,82,86,80,83,69,80,86,76,86,NA,NA,62,62
David Schlemko,Boston,31,67,71,71,74,70,74,71,72,73,73,69,39,39
Jakub Voracek,Boston,29,70,78,77,81,77,72,78,85,82,70,76,56,55
Jay Beagle,Boston,33,74,70,77,76,69,74,72,71,71,73,70,34,33
Mark Pysyk,Boston,27,69,72,72,74,72,74,73,74,75,73,69,32,30
Matt Bartkowski,Boston,30,69,72,70,76,70,72,71,74,71,74,69,32,30
Matt Cullen,Boston,42,70,71,72,76,72,79,70,72,72,73,70,95,91
Max Pacioretty,Boston,30,71,77,76,80,73,74,77,79,79,71,80,44,43
Nate Schmidt,Boston,27,70,74,73,77,73,74,74,73,74,76,70,33,33
Nick Cousins,Boston,25,70,72,70,75,72,72,73,73,73,69,70,31,30
P.E Bellemare,Boston,33,73,72,72,75,70,70,71,72,71,69,71,32,28
Sam Gagner,Boston,29,65,77,65,76,70,72,77,74,73,65,71,52,45
Sean Couturier,Boston,26,75,77,76,81,77,71,76,79,79,71,79,45,45
Tanner Kero,Boston,26,68,69,69,69,69,68,71,70,69,69,65,27,26
Will Acton,Boston,31,67,67,69,70,69,68,69,69,67,66,67,31,28
Zbynek Michalek,Boston,36,67,71,71,74,60,75,71,71,71,74,65,66,63
Anton Rodin,Boston,28,58,74,62,71,68,72,75,71,70,58,66,26,26
Byron Froese,Boston,27,71,71,71,71,71,71,71,71,71,69,68,27,26
Evgeny Medvedev,Boston,36,70,66,70,70,70,70,69,70,70,70,68,34,30
Jeremy Langlois,Boston,28,68,67,69,68,68,68,66,66,67,67,67,26,26
Michal Jordan,Boston,28,70,66,69,68,68,68,68,66,67,69,64,29,28
Adam Larsson,Buffalo,26,74,74,77,78,66,63,74,75,75,79,66,36,36
Alexei Emelin,Buffalo,32,78,73,76,76,66,64,73,71,70,75,63,38,36
Andreas Englund,Buffalo,23,70,69,69,74,72,64,70,67,68,67,62,28,27
Andrew Copp,Buffalo,24,70,70,73,76,75,74,76,73,73,70,70,31,27
Andrew Hammond,Buffalo,31,80,82,80,76,79,79,81,77,82,NA,NA,34,34
Chris Vande Velde,Buffalo,31,70,72,70,74,71,68,71,71,71,66,69,30,30
Darnell Nurse,Buffalo,24,70,76,76,78,75,74,78,75,74,74,70,31,29
Esa Lindell,Buffalo,24,68,73,75,78,77,73,76,75,74,77,72,31,29
Gabriel Bourque,Buffalo,28,70,76,70,75,76,82,76,71,71,68,71,36,32
Hunter Shinkaruk,Buffalo,24,65,74,67,75,73,65,73,73,71,65,66,30,28
Jack Connolly,Buffalo,29,65,74,63,73,67,70,74,73,71,62,68,27,27
Jacob Markstrom,Buffalo,29,84,85,86,81,79,81,85,78,85,NA,NA,36,32
Jake Virtanen,Buffalo,22,68,74,69,76,75,65,74,75,75,68,72,32,30
Joe Colborne,Buffalo,29,67,69,75,72,70,71,69,70,70,68,69,34,33
Lars Eller,Buffalo,29,73,75,74,78,73,64,76,76,74,72,74,40,38
Luke Schenn,Buffalo,29,73,70,77,76,74,62,70,71,71,73,64,46,46
Magnus Paajarvi,Buffalo,27,68,76,70,75,70,78,76,72,73,66,70,34,34
Mattias Janmark-Nylen,Buffalo,26,69,75,72,75,69,70,74,73,74,69,72,31,30
Nikita Zadorov,Buffalo,23,74,70,76,73,70,65,71,72,71,74,68,29,27
Scott Harrington,Buffalo,25,68,71,74,74,70,70,72,70,70,71,68,29,28
Stefan Noesen,Buffalo,25,72,70,74,71,68,66,71,73,73,69,70,29,28
Taylor Beck,Buffalo,27,67,68,73,73,70,71,69,69,69,67,68,29,27
Tomas Jurco,Buffalo,26,71,70,71,74,71,74,71,72,71,71,70,32,30
Travis Moen,Buffalo,36,70,70,70,70,68,64,68,70,70,70,67,63,63
Zack Kassian,Buffalo,28,77,71,79,75,73,41,71,72,73,66,72,34,32
Adam Gilmour,Buffalo,25,64,71,64,74,70,64,71,65,66,64,66,27,27
Blake Parlett,Buffalo,29,64,65,72,72,70,60,65,65,65,68,60,28,28
Carl Dahlstrom,Buffalo,24,67,70,68,73,72,67,71,68,69,68,64,27,27
Dylan McIlrath,Buffalo,26,73,68,76,71,71,57,68,68,68,69,65,29,28
Emil Pettersson,Buffalo,25,63,73,65,74,72,66,72,68,67,64,66,27,27
Haydn Fleury,Buffalo,22,67,73,69,75,75,69,73,69,69,68,67,27,27
Keith Aulie,Buffalo,29,65,67,78,73,68,66,66,71,70,74,59,31,29
Malcolm Subban,Buffalo,25,80,82,80,78,79,79,82,81,83,NA,NA,31,30
Niklas Svedberg,Buffalo,29,78,79,79,75,74,75,79,74,79,NA,NA,30,30
Peter Andersson,Buffalo,27,70,66,71,69,67,65,67,66,65,65,64,28,28
Spencer Martin,Buffalo,23,77,77,77,76,76,78,78,75,76,NA,NA,27,27
Vitek Vanecek,Buffalo,23,77,76,78,76,75,74,75,75,75,NA,NA,27,27
Zack Phillips,Buffalo,26,68,67,65,69,68,68,66,66,65,64,66,27,26
Alex Lyon,Calgary,26,75,75,73,74,74,74,75,75,75,NA,NA,27,27
Andrew Poturalski,Calgary,25,70,69,69,69,69,68,67,66,68,66,68,27,27
Austin Watson,Calgary,27,73,70,74,73,70,68,70,72,71,70,71,27,27
Bobby Butler,Calgary,31,67,72,69,73,71,76,73,71,71,66,68,30,30
Casey Nelson,Calgary,26,68,70,72,72,70,70,70,71,71,69,67,28,28
Chris Wagner,Calgary,27,71,72,76,76,72,72,72,71,72,68,70,29,29
CJ Motte,Calgary,27,72,75,72,74,76,76,75,76,77,NA,NA,27,27
Daniel Pribyl,Calgary,26,65,67,69,71,73,76,70,66,65,65,66,27,27
Drew Shore,Calgary,28,68,70,70,71,69,72,70,71,70,67,68,29,28
Dylan Demelo,Calgary,25,70,71,74,75,67,71,72,73,72,72,68,32,31
Evgeny Kurbatov,Calgary,30,60,63,64,64,64,66,63,61,60,62,51,26,26
Jerry D'Amigo,Calgary,27,67,74,69,72,70,73,74,68,68,66,67,28,28
Johan Larsson,Calgary,26,69,72,71,75,69,73,72,73,73,69,71,32,32
Michael Latta,Calgary,27,73,69,72,72,69,54,69,71,70,69,69,27,27
Micki Dupont,Calgary,38,54,71,55,68,70,68,63,70,62,53,62,35,35
Mike Lundin,Calgary,34,62,70,71,71,65,75,70,70,69,69,55,37,37
Mike Vecchione,Calgary,25,67,71,70,70,69,70,70,69,69,68,69,27,27
Nick Lappin,Calgary,26,68,71,71,74,70,73,72,71,71,66,69,30,29
Nick Petersen,Calgary,29,64,63,70,68,63,61,63,62,60,56,60,25,25
Patrick Coulombe,Calgary,33,52,66,45,65,65,75,66,68,60,63,46,25,25
Steve Moses,Calgary,29,65,70,70,71,70,70,71,69,69,69,70,28,26
Thomas Vanek,Calgary,35,68,77,74,79,74,72,77,78,78,67,76,69,69
Tomas Plekanec,Calgary,36,67,73,67,76,81,71,73,75,74,70,71,75,75
Troy Stecher,Calgary,24,68,76,71,75,72,72,76,75,75,71,70,29,29
Viktor Svedberg,Calgary,27,69,68,73,73,68,67,69,68,68,69,64,28,28
William Karlsson,Calgary,26,73,78,73,78,77,77,78,78,77,73,78,36,34
Andrew Engelage,Calgary,30,70,70,80,69,65,70,70,60,70,NA,NA,26,26
Chris Lawrence,Calgary,32,64,64,73,68,65,55,64,65,65,50,60,26,26
Christian Engstrand,Calgary,30,70,74,68,72,65,65,72,62,71,NA,NA,26,26
Colin Shields,Calgary,39,60,60,68,65,65,70,55,58,59,52,64,28,27
Jean-Michel Daoust,Calgary,35,57,66,52,65,65,50,66,69,69,55,66,26,26
Kristian Nakyva,Calgary,28,69,65,69,65,50,50,50,50,50,50,50,50,50
Nico Aaltonen,Calgary,30,56,63,58,66,66,68,65,65,62,58,58,25,25
Radoslav Illo,Calgary,29,58,66,63,67,65,67,66,62,60,55,58,25,25
Shawn Weller,Calgary,32,65,66,65,62,67,60,67,54,55,59,59,25,25
Vojtech Polak,Calgary,33,58,65,62,67,65,50,65,63,65,58,60,25,25
Aaron Ekblad,Carolina,23,74,75,76,80,76,65,76,77,76,79,79,36,36
Andrew Cogliano,Carolina,31,67,77,66,76,85,74,77,74,74,70,71,57,57
Anze Kopitar,Carolina,31,72,80,79,84,80,80,80,84,84,77,78,64,63
Bo Horvat,Carolina,23,73,75,76,80,70,75,73,77,76,72,77,34,34
Brenden Dillon,Carolina,28,76,70,78,78,74,60,70,73,73,77,70,35,35
Cam Atkinson,Carolina,29,69,82,66,79,76,79,81,78,81,69,78,42,42
Chris Kunitz,Carolina,39,71,74,69,75,72,69,74,75,75,68,72,76,76
Colton Parayko,Carolina,25,73,71,81,79,80,75,74,77,77,77,73,33,33
Dylan Larkin,Carolina,22,72,83,73,78,83,68,83,78,79,71,74,36,30
Jack Eichel,Carolina,22,73,78,76,82,70,73,77,81,81,69,77,30,30
Jaden Schwartz,Carolina,26,70,77,70,77,72,77,77,79,77,73,78,32,32
Justin Abdelkader,Carolina,31,79,77,77,77,76,50,77,74,74,70,72,43,48
Kari Lehtonen,Carolina,35,79,84,84,79,62,76,84,77,85,NA,NA,60,58
Marc Methot,Carolina,33,72,70,80,76,63,72,70,70,70,76,66,50,50
Marco Scandella,Carolina,28,72,72,76,76,72,64,72,73,72,76,72,37,37
Michael Frolik,Carolina,30,67,77,72,77,77,73,75,75,75,71,72,50,50
Patrik Laine,Carolina,20,71,79,74,79,70,71,79,77,80,69,83,25,30
T.J. Brodie,Carolina,28,72,75,73,83,77,78,76,78,77,80,72,37,35
T.J. Oshie,Carolina,32,73,77,71,79,71,70,76,78,79,70,78,49,49
Tuukka Rask,Carolina,31,90,90,88,85,78,86,90,77,90,NA,NA,49,49
Adam Helewka,Carolina,23,68,69,72,73,65,65,69,69,70,65,66,25,25
Andre Burakovsky,Carolina,24,71,75,73,75,72,76,75,75,75,67,73,30,30
Brandon Manning,Carolina,28,75,70,75,75,70,60,70,69,69,74,68,33,33
Christian Dvorak,Carolina,23,67,76,70,75,70,69,76,72,72,66,70,25,25
Daniel Brickley,Carolina,23,67,72,74,73,67,65,72,65,65,70,60,25,25
Derek Ryan,Carolina,32,68,73,69,75,70,72,74,75,75,67,73,27,27
Elvis Merzlikins,Carolina,24,69,74,70,74,75,78,81,75,75,NA,NA,25,25
Ilya Sorokin,Carolina,23,71,83,80,75,69,69,81,74,81,NA,NA,25,25
Jonny Brodzinski,Carolina,25,69,67,69,67,67,68,67,67,68,66,67,25,25
JT Compher,Carolina,23,69,76,70,76,68,69,76,74,73,67,72,25,25
Laurent Dauphin,Carolina,23,67,75,70,73,65,61,75,68,67,65,67,25,25
Mackenzie MacEachern,Carolina,24,63,69,71,74,73,70,70,69,69,64,68,25,25
Martin Reway,Carolina,24,64,66,68,73,73,74,71,64,65,64,66,25,25
Neal Pionk,Carolina,23,68,72,70,75,68,69,73,73,72,74,69,25,25
Nicholas Baptiste,Carolina,23,70,72,71,73,64,67,73,69,69,67,67,25,25
Nicolas Petan,Carolina,23,70,72,69,73,69,69,72,70,70,67,67,25,25
Roland McKeown,Carolina,23,67,69,71,73,69,66,69,69,69,70,65,25,25
Seth Griffith,Carolina,26,68,74,66,74,72,73,72,71,71,69,71,32,29
Tyler Bertuzzi,Carolina,23,77,74,73,75,67,64,74,73,73,70,71,25,25
Ville Husso,Carolina,24,69,74,70,73,75,78,81,75,75,NA,NA,25,25
Brandon Dubinsky,Chicago,32,77,74,74,76,63,52,74,73,73,72,70,54,55
Christian Folin,Chicago,28,71,68,76,74,70,70,71,72,72,74,67,28,28
Conor Sheary,Chicago,26,69,77,68,76,70,72,75,75,74,70,74,27,27
Daniel Ciampini,Chicago,28,64,68,64,69,65,68,66,67,68,64,67,27,27
Drew Doughty,Chicago,29,78,81,73,87,78,67,81,83,83,81,77,58,61
Jason Demers,Chicago,30,74,75,72,76,65,60,75,74,74,75,73,42,42
Kevin Bieksa,Chicago,37,79,72,77,78,66,55,71,72,72,76,68,62,59
Kristopher Letang,Chicago,31,70,80,69,83,60,70,80,84,83,74,77,62,59
Matt Beleskey,Chicago,30,78,72,73,75,71,60,72,72,71,65,71,39,39
Michael Ferland,Chicago,26,74,72,75,77,73,67,72,76,75,68,75,31,30
Michal Kempny,Chicago,28,70,78,72,78,75,72,79,72,73,77,66,30,30
Mike Hoffman,Chicago,29,68,83,71,79,73,77,82,79,78,66,79,36,36
Mike Smith,Chicago,36,83,85,86,82,70,70,84,78,85,NA,NA,55,53
Mikko Koivu,Chicago,35,71,74,76,77,72,69,75,76,77,73,73,70,77
Patrick Eaves,Chicago,34,74,75,65,74,50,74,75,70,70,72,70,50,50
Pekka Rinne,Chicago,36,90,89,91,85,80,74,90,78,88,NA,NA,56,56
Peter Holland,Chicago,28,69,73,72,72,71,73,74,72,72,68,71,36,35
Ryan McDonagh,Chicago,29,74,77,78,83,73,71,77,78,78,81,72,50,55
Shawn Matthias,Chicago,30,70,72,75,73,60,72,70,71,72,69,72,43,43
Steven Stamkos,Chicago,29,74,82,70,86,77,73,82,89,86,72,84,53,57
Tyler Seguin,Chicago,27,74,80,75,83,76,80,80,85,85,71,86,40,46
Alex Kerfoot,Chicago,24,69,73,69,76,70,67,73,74,74,69,73,25,25
Brad Stuart,Chicago,39,70,70,74,73,55,70,70,70,70,72,64,86,86
Brandon Prust,Chicago,34,80,70,75,74,72,32,71,70,70,70,68,48,48
Christian Ehrhoff,Chicago,36,69,70,71,73,65,68,70,70,70,70,64,73,73
Darren Dietz,Chicago,25,70,66,69,66,67,67,65,68,66,69,64,28,27
Duncan Siemens,Chicago,25,71,67,72,68,69,63,67,68,68,71,65,29,27
Hampus Gustafsson,Chicago,25,69,65,72,65,67,64,65,66,66,66,66,28,28
Jayson Megna,Chicago,29,69,73,71,74,71,74,73,72,73,69,70,29,28
Johan Holmqvist,Chicago,40,75,79,77,74,79,80,79,76,79,NA,NA,40,40
Jonas Hiller,Chicago,36,76,78,78,74,63,81,77,75,78,NA,NA,51,51
Manny Malhotra,Chicago,38,65,69,69,69,62,81,69,69,69,69,67,87,87
Mark Arcobello,Chicago,30,68,76,61,74,71,76,75,73,74,66,73,33,33
Mason Raymond,Chicago,33,64,80,66,75,70,70,80,70,73,66,70,48,47
Max McCormick,Chicago,26,70,70,70,68,67,65,71,70,70,67,69,29,27
Phil Di Giuseppe,Chicago,25,72,72,70,68,70,70,72,71,70,68,71,31,28
Ronalds Kenins,Chicago,27,69,68,69,73,70,68,68,71,70,67,68,32,29
Sergei Kalinin,Chicago,27,68,68,72,71,72,67,68,70,69,67,70,29,29
Tom Parisi,Chicago,25,68,69,68,67,68,70,66,66,67,67,63,28,28
Tom Wilson,Chicago,24,82,71,82,75,76,45,72,75,74,71,74,35,35
Yaroslav Kosov,Chicago,25,69,67,69,68,67,68,69,66,65,66,68,29,28
Andreas Martinsen,Colorado,28,74,70,75,73,71,71,73,71,72,67,70,30,27
Andrew MacDonald,Colorado,32,65,74,71,76,67,73,74,74,73,76,68,42,40
Brandon Sutter,Colorado,29,70,73,74,76,78,83,74,73,74,73,73,49,49
Brian Elliott,Colorado,33,84,85,84,79,72,78,84,75,85,NA,NA,53,49
Cameron Johnson,Colorado,24,74,74,73,73,72,75,76,66,75,NA,NA,26,26
Christian Djoos,Colorado,24,66,69,71,76,75,73,74,70,70,73,68,27,27
Colin Miller,Colorado,26,73,73,73,79,74,68,73,78,76,75,71,31,31
Colton Sissons,Colorado,25,74,72,73,76,71,75,74,74,73,70,72,32,30
Darcy Kuemper,Colorado,28,83,84,85,79,74,79,85,79,84,NA,NA,31,31
Dominik Simon,Colorado,24,69,75,69,75,73,69,73,74,73,69,70,26,26
Eric Staal,Colorado,34,74,76,78,84,84,68,76,79,79,68,74,78,82
Erik Gudbranson,Colorado,27,75,72,78,76,69,65,72,71,71,76,60,34,34
Erik Gustafsson,Colorado,30,71,72,71,77,70,66,69,77,75,75,73,39,32
Fredrik Claesson,Colorado,26,68,72,72,72,71,74,72,73,72,75,68,29,28
Jon Gillies,Colorado,25,73,78,77,77,78,79,81,78,78,NA,NA,27,27
Jordan Schmaltz,Colorado,25,70,70,72,74,70,71,70,70,69,73,67,29,29
Mark Friedman,Colorado,23,65,69,64,70,60,65,63,68,68,66,66,25,25
Michael McCarron,Colorado,23,77,66,81,75,70,57,68,72,73,70,67,28,28
Oliver Ekman-Larsson,Colorado,27,69,81,71,83,80,65,81,79,80,75,81,43,43
Rickard Rakell,Colorado,25,73,75,73,78,72,74,75,77,77,71,77,34,33
Robby Fabbri,Colorado,23,74,75,67,75,58,66,75,74,75,67,73,28,28
Robert Hagg,Colorado,24,69,73,73,75,69,64,74,73,73,74,69,27,27
Shayne Gostisbehere,Colorado,25,70,79,69,80,77,73,80,82,82,74,76,32,32
Sven Andrighetto,Colorado,25,69,75,69,73,70,67,75,74,74,68,71,29,28
Tyler Graovac,Colorado,25,72,70,75,72,73,74,71,71,71,69,70,31,29
Valentin Zykov,Colorado,23,72,70,74,69,65,70,70,68,69,62,69,26,26
Vladislav Namestnikov,Colorado,26,70,76,70,77,72,69,74,77,77,70,74,34,34
Yanni Gourde,Colorado,27,74,78,66,77,76,67,78,76,77,76,76,30,28
Zack Smith,Colorado,30,77,69,77,76,76,45,69,73,73,71,73,40,38
Cal Petersen,Colorado,24,75,78,75,75,74,78,81,77,80,NA,NA,26,26
Dean Kukan,Colorado,25,69,69,71,72,70,68,68,69,67,69,66,29,29
Jake Dotchin,Colorado,24,71,70,73,75,74,70,72,67,69,70,68,28,27
Jean Francois Berube,Colorado,27,79,79,78,78,77,79,79,77,79,NA,NA,31,30
Kyle Rau,Colorado,26,69,71,70,72,71,69,72,68,69,68,68,29,28
Matteson Iacopelli,Colorado,24,66,67,68,76,74,74,71,66,67,66,67,27,26
Maxim Letunov,Colorado,22,60,58,64,63,65,55,58,64,63,54,64,25,25
Nick Ellis,Colorado,25,71,75,74,75,77,79,81,77,78,NA,NA,27,27
Pheonix Copley,Colorado,27,80,83,79,80,79,78,81,78,82,NA,NA,30,29
Pontus Aberg,Colorado,25,71,72,72,71,71,70,72,72,72,68,71,29,28
Radel Fazleev,Colorado,23,58,64,60,64,60,66,64,64,57,55,52,25,25
Rinat Valiev,Colorado,23,65,66,71,70,66,52,66,68,65,67,60,26,26
Ryan Graves,Colorado,23,61,69,67,74,72,71,71,64,67,67,63,25,25
Tim Heed,Colorado,28,68,71,73,71,71,73,70,71,71,70,69,29,28
Ville Pokka,Colorado,24,66,67,71,74,75,72,72,66,68,66,67,28,27
Yohann Auvitu,Colorado,29,62,72,65,73,75,76,72,71,71,68,67,28,28
Adam McQuaid,Columbus,32,79,68,79,75,72,50,70,69,70,77,51,36,36
Austin Czarnik,Columbus,26,69,73,69,74,69,69,74,72,71,69,71,27,27
Ben Lovejoy,Columbus,34,75,71,76,75,60,72,71,70,70,76,68,40,40
Braden Holtby,Columbus,29,88,90,86,89,82,83,89,85,88,NA,NA,48,46
Brandon Carlo,Columbus,22,72,70,78,76,70,63,69,68,68,76,60,27,27
Brian Boyle,Columbus,34,74,70,85,76,76,60,70,71,71,72,71,48,48
Derek Forbort,Columbus,26,77,70,77,76,72,69,69,72,72,76,66,29,29
Derick Brassard,Columbus,31,70,77,72,78,76,72,77,77,77,70,74,49,49
Jiri Hudler,Columbus,35,69,75,61,77,66,79,75,74,74,68,70,63,62
Jussi Jokinen,Columbus,35,64,75,66,76,75,70,75,74,74,68,70,68,68
Kevin Connauton,Columbus,28,74,70,74,75,71,67,70,72,71,74,70,27,27
Kyle Brodziak,Columbus,34,67,73,73,74,78,72,73,70,71,70,70,58,58
Matt Calvert,Columbus,29,74,75,70,77,62,62,75,73,73,72,72,38,37
Matt Read,Columbus,32,68,76,69,75,72,77,76,72,72,69,70,38,38
Matthew Tkachuk,Columbus,21,79,71,77,78,70,61,72,78,77,70,78,28,27
Paul Martin,Columbus,37,63,70,72,74,57,77,70,71,71,73,67,69,67
Philipp Grubauer,Columbus,27,82,82,77,78,76,81,82,78,82,NA,NA,34,33
Ryan Callahan,Columbus,33,77,75,67,76,65,73,75,71,72,72,70,54,58
Stefan Elliott,Columbus,28,62,72,65,74,73,77,72,72,72,70,69,30,29
Tom Gilbert,Columbus,36,64,73,72,72,70,78,74,69,70,72,67,56,55
Vincent Trocheck,Columbus,25,73,77,72,79,72,72,77,80,79,70,79,36,36
Vladimir Sobotka,Columbus,31,70,75,67,75,69,66,75,73,73,71,71,42,42
Alex Nedeljkovic,Columbus,23,75,75,75,74,73,74,75,73,75,NA,NA,25,25
Alex Stalock,Columbus,31,84,83,78,77,76,78,80,74,81,NA,NA,34,34
Andrew Campbell,Columbus,31,69,64,71,70,65,65,69,69,66,68,66,28,28
Brian Flynn,Columbus,30,67,72,68,75,70,79,72,72,73,64,72,30,29
Christoph Bertschy,Columbus,24,64,67,69,73,73,70,70,65,66,65,66,27,27
Colin McDonald,Columbus,34,70,70,74,70,70,73,70,70,69,61,69,34,33
Dustin Jeffrey,Columbus,30,66,66,73,74,72,76,68,73,72,65,69,32,30
Dustin Tokarski,Columbus,29,80,79,78,74,74,77,80,73,81,NA,NA,32,32
Eric Tangradi,Columbus,30,73,68,78,73,70,70,68,70,70,69,67,32,30
Greg Carey,Columbus,28,68,70,64,70,71,70,71,70,70,68,71,27,27
Harry Zolnierczyk,Columbus,31,76,75,69,72,64,50,75,68,68,70,67,33,33
Jacob Josefson,Columbus,27,63,73,69,75,62,76,73,72,72,68,70,34,34
Joakim Andersson,Columbus,30,70,72,72,72,71,76,71,70,69,69,67,33,31
John Hayden,Columbus,23,71,69,75,74,65,60,69,69,69,67,69,25,25
Kevin Czuczman,Columbus,28,69,68,69,71,70,68,68,69,68,68,66,26,26
Lauri Korpikoski,Columbus,32,67,74,70,74,66,76,74,71,70,67,69,48,48
Mark Fayne,Columbus,31,68,69,78,76,74,70,69,70,70,74,66,36,36
Nate Thompson,Columbus,34,74,72,74,73,69,72,72,72,72,70,70,46,45
Philip Varone,Columbus,28,68,73,66,73,69,68,72,70,71,60,70,26,26
Ryan Carpenter,Columbus,28,69,72,72,73,69,72,73,72,70,69,70,28,28
Ryan Rupert,Columbus,24,58,67,69,73,73,70,70,64,66,64,66,27,27
Tommy Cross,Columbus,29,68,66,68,66,68,70,67,67,68,68,65,27,27
Victor Bartley,Columbus,30,70,71,69,72,70,72,71,70,70,71,60,33,33
Ben Bishop,Dallas,32,87,87,94,87,79,80,87,79,87,NA,NA,44,44
Brandon Bollig,Dallas,32,79,66,79,76,73,50,68,68,68,69,69,34,34
Claude Giroux,Dallas,31,77,82,71,86,80,74,82,85,83,73,80,59,58
Erik Karlsson,Dallas,28,72,83,67,86,78,69,84,93,86,77,80,56,55
Jimmy Hayes,Dallas,29,72,69,80,73,71,75,72,72,72,66,72,34,34
Kris Versteeg,Dallas,32,70,75,65,74,63,73,75,74,74,70,70,49,48
Kyle Clifford,Dallas,28,77,71,78,75,75,48,71,72,72,69,69,41,40
Mark Giordano,Dallas,35,75,76,74,83,64,68,76,82,81,78,79,55,55
Matt Hendricks,Dallas,37,78,72,78,74,72,60,72,68,70,70,68,43,42
Matt Martin,Dallas,29,81,70,79,76,76,45,69,70,70,68,70,38,38
Radko Gudas,Dallas,28,81,67,77,76,70,50,66,72,71,76,65,35,32
Rick Nash,Dallas,34,70,76,78,78,67,68,76,75,79,68,75,80,80
Riley Nash,Dallas,29,72,73,71,75,70,75,73,73,72,72,71,34,34
Ron Hainsey,Dallas,37,65,70,75,78,73,77,70,73,71,78,62,70,70
Ryan O'Reilly,Dallas,28,72,78,72,82,76,85,76,81,79,73,77,41,48
Ryan Reaves,Dallas,32,81,70,81,76,74,48,71,71,71,70,72,34,32
