name,position,hand,height,weight,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,salary,contractLength,birthPlace,TeamName
Jeremy Lauzon,D,L,73,204,24,78,71,72,77,64,64,71,70,69,76,64,36,34,1250000,4,CAN,Vancouver
Rasmus Asplund,C,L,71,190,23,66,68,69,74,64,75,68,67,66,69,69,35,33,950000,4,SWE,Vancouver
Connor Bunnaman,C,L,73,207,23,70,68,72,72,62,70,68,62,60,65,61,35,33,700000,4,CAN,Columbus
Conor Timmins,D,R,74,185,22,65,68,68,74,62,70,68,73,75,71,62,35,33,1000000,4,CAN,Columbus
Owen Tippett,RW,R,73,207,22,69,74,72,73,70,75,73,73,73,69,71,35,33,1250000,4,CAN,Columbus
Casey DeSmith,G,L,72,181,29,79,82,79,78,79,79,83,81,82,0,0,40,45,1250000,4,USA,Carolina
Jonas Johansson,G,L,77,220,25,76,77,80,72,70,79,77,72,76,0,0,30,30,950000,4,SWE,Vancouver
Jordan Gross,D,R,70,190,26,66,68,65,74,57,70,68,76,76,72,62,35,33,1100000,4,USA,Edmonton
Timothy Liljegren,D,R,72,192,22,76,73,70,87,57,70,72,62,64,73,62,35,33,1100000,4,SWE,Philly
Ryan Poehling,C,L,74,204,22,70,68,65,72,59,70,68,62,62,65,63,35,33,700000,4,USA,Philly
