name,teamName,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld
Andrew Ladd,Winnipeg,33,71,72,76,77,74,67,73,74,74,70,72,89,85
Andrew MacDonald,Colorado,32,65,74,71,76,67,73,74,74,73,76,68,66,64
Andrew Mangiapane,Phoenix,22,66,74,67,74,67,68,75,72,72,67,70,30,30
Andrew Shaw,Montreal,27,78,76,73,77,74,55,70,75,74,71,73,58,53
Andy Greene,Philly,36,70,73,69,79,80,79,73,72,73,78,67,82,83
Andy Welinski,Pittsburgh,25,65,68,72,72,73,69,71,68,69,69,64,30,30
Anthony Beauvillier,Pittsburgh,21,67,76,66,75,68,72,77,74,73,68,73,37,36
Anthony Bitetto,Vancouver,28,72,68,72,70,70,65,72,71,70,70,67,37,34
Anthony DeAngelo,Philly,23,62,74,60,73,67,64,74,71,72,69,67,34,33
Anthony Duclair,Toronto,23,66,72,72,74,75,75,76,71,72,69,73,43,40
Anthony Mantha,Florida,24,70,75,79,77,75,68,77,76,75,70,75,39,37
Anthony Peluso,Florida,29,77,68,78,73,69,53,68,67,67,60,65,41,37
Antoine Roussel,Ottawa,29,81,72,77,76,73,42,72,73,73,71,73,56,52
Antoine Vermette,Winnipeg,36,70,75,69,76,78,63,76,74,74,69,72,97,87
Anton Blidh,Nashville,23,65,66,68,68,73,66,73,63,66,68,68,31,30
Anton Slepyshev,LosAngeles,24,68,72,70,73,75,75,73,70,70,68,70,36,34
Anton Stralman,Carolina,32,70,76,71,80,77,76,75,74,75,79,70,76,68
Anze Kopitar,Carolina,31,72,80,79,84,80,80,80,84,84,77,78,88,90
Artem Anisimov,LosAngeles,30,67,76,73,77,74,81,76,76,77,70,76,71,64
Artemi Panarin,Edmonton,27,69,81,67,80,79,73,80,85,84,70,80,44,42
Artturi Lehkonen,Washington,23,70,73,70,75,65,75,73,73,74,73,73,38,36
Austin Czarnik,Columbus,26,69,73,69,74,69,69,74,72,71,69,71,34,32
Austin Watson,Calgary,27,73,70,74,73,70,68,70,72,71,70,71,44,41
Auston Matthews,Toronto,21,70,78,79,82,70,72,78,84,83,70,84,38,36
Barclay Goodrow,Philly,25,71,72,74,74,70,67,71,71,71,68,70,38,36
Ben Chiarot,Ottawa,27,73,71,77,77,66,67,71,71,71,76,66,45,42
Ben Harpur,San Jose,24,69,69,75,74,69,68,70,70,70,68,63,34,32
Ben Hutton,Montreal,25,72,72,74,78,75,73,71,76,75,73,71,42,40
Ben Lovejoy,Columbus,34,75,71,76,75,60,72,71,70,70,76,68,63,56
Benoit Pouliot,San Jose,32,72,73,74,75,65,69,73,74,73,69,73,72,64
Blake Coleman,Ottawa,27,69,73,74,75,68,68,74,72,72,71,73,36,35
Blake Comeau,Toronto,32,74,74,74,76,72,67,74,75,73,65,72,77,69
Blake Pietila,Philly,25,70,71,71,71,68,62,70,69,68,69,67,32,30
Blake Wheeler,Boston,32,73,77,83,83,84,69,76,86,82,72,76,79,82
Bo Horvat,Carolina,23,73,75,76,80,70,75,73,77,76,72,77,48,45
Bobby Ryan,Chicago,31,68,76,74,77,70,72,75,76,76,68,73,77,70
Boone Jenner,Winnipeg,25,73,72,75,74,77,70,73,74,75,73,74,51,53
Brad Hunt,Phoenix,30,67,70,73,74,69,68,70,71,72,72,69,37,34
Brad Marchand,Edmonton,30,81,81,69,82,76,60,80,80,81,76,83,69,62
Brad Richardson,Rangers,34,69,75,64,75,70,72,75,72,72,72,73,76,72
Brady Skjei,Anaheim,24,71,72,76,78,76,72,78,78,76,74,71,40,38
Brandon Carlo,Columbus,22,72,70,78,76,70,63,69,68,68,76,60,39,37
Brandon Davidson,Detroit,27,70,67,71,68,68,68,66,70,68,72,65,40,37
Brandon Dubinsky,Florida,32,77,74,74,76,63,52,74,73,73,72,70,80,76
Brandon Manning,Carolina,28,75,70,75,75,70,60,70,69,69,74,68,45,40
Brandon Montour,Nashville,24,68,74,75,76,75,73,76,76,76,76,72,36,35
Brandon Pirri,Toronto,27,69,75,68,75,72,76,75,74,74,70,74,47,42
Brandon Saad,Minnesota,26,72,77,74,78,75,77,78,76,76,72,77,59,54
Brandon Sutter,Philly,29,70,73,74,76,78,83,74,73,74,73,73,72,70
Brandon Tanev,Toronto,27,72,72,74,73,71,70,73,70,70,70,71,37,35
Brayden McNabb,LosAngeles,28,76,70,78,76,70,67,71,74,74,77,67,50,46
Brayden Point,Florida,22,72,79,67,80,75,71,78,80,80,70,80,38,37
Brayden Schenn,New Jersey,27,72,78,72,80,77,69,78,80,78,69,78,64,57
Braydon Coburn,Toronto,33,74,72,82,77,75,65,72,73,73,76,66,85,76
Brendan Gallagher,Boston,26,74,78,69,77,71,68,77,78,77,73,77,55,56
Brendan Gaunce,San Jose,24,67,70,71,76,75,75,77,70,70,67,70,37,35
Brendan Guhle,Tampa Bay,21,74,72,70,63,63,73,72,66,65,70,67,31,30
Brendan Leipsic,Pittsburgh,24,64,71,73,75,73,71,76,70,71,67,70,34,32
Brendan Lemieux,Colorado,22,72,72,71,73,65,67,69,69,69,68,70,30,30
Brendan Perlini,Philly,22,70,72,75,75,69,68,72,71,71,68,72,37,36
Brendan Smith,Dallas,30,77,77,74,76,70,64,76,71,72,75,68,54,49
Brenden Dillon,Montreal,28,76,70,78,78,74,60,70,73,73,77,70,59,54
Brent Burns,Anaheim,33,77,76,85,86,78,68,78,86,87,77,86,92,82
Brent Seabrook,Boston,33,72,75,81,80,78,75,76,77,76,79,74,94,90
Brett Connolly,Rangers,26,73,74,72,74,72,70,73,73,71,71,72,53,48
Brett Kulak,Vancouver,25,69,70,73,72,69,70,71,69,70,71,67,37,34
Brett Lernout,Carolina,23,60,69,75,73,67,73,60,69,68,67,60,32,30
Brett Pesce,Anaheim,24,71,72,77,78,77,77,77,75,74,78,71,43,41
Brett Ritchie,Minnesota,25,74,68,75,72,70,70,70,71,72,70,73,42,39
Brian Boyle,Columbus,34,74,70,85,76,76,60,70,71,71,72,71,75,68
Brian Dumoulin,Edmonton,27,68,74,74,79,74,77,74,75,74,77,70,46,42
Brian Gibbons,Ottawa,30,68,76,59,75,70,77,76,73,73,69,73,38,36
Brock Boeser,Washington,22,69,75,70,78,64,70,74,76,77,69,78,34,32
Brock McGinn,Islanders,25,69,72,73,73,72,71,74,73,73,69,70,40,37
Brock Nelson,San Jose,27,72,74,76,78,74,74,74,76,76,70,76,54,51
Brooks Laich,Phoenix,35,69,69,74,73,66,77,69,70,71,68,68,82,72
Brooks Orpik,Dallas,38,80,70,78,78,67,65,69,69,70,79,58,95,89
Bryan Little,Chicago,31,70,74,69,79,70,70,74,77,77,73,74,79,71
Bryan Rust,Boston,26,73,75,72,76,67,74,74,74,74,72,73,42,39
Byron Froese,Boston,27,71,71,71,71,71,71,71,71,71,69,68,37,35
Cal Clutterbuck,Vancouver,31,80,73,76,75,75,64,73,72,72,71,70,76,74
Calle Jarnkrok,Montreal,27,64,78,65,77,74,74,77,75,76,74,74,50,46
Calvin De Haan,Philly,27,72,76,71,78,74,70,76,75,75,79,70,50,46
Cam Atkinson,Carolina,29,69,82,66,79,76,79,81,78,81,69,78,59,54
Cam Fowler,Anaheim,27,67,79,74,84,72,77,79,79,79,77,75,65,60
Carl Dahlstrom,Buffalo,24,67,70,68,73,72,67,71,68,69,68,64,30,30
Carl Gunnarsson,Tampa Bay,32,73,74,72,76,71,77,74,70,71,76,65,66,60
Carl Hagelin,Columbus,30,68,85,66,77,65,70,83,76,74,70,73,61,56
Carl Soderberg,Florida,33,70,76,73,78,75,74,75,75,76,74,73,56,52
Carson Soucy,Edmonton,24,64,67,69,73,73,70,70,65,66,66,64,30,30
Casey Cizikas,Boston,27,72,75,72,76,72,73,74,73,73,71,71,57,52
Casey Nelson,Calgary,26,68,70,72,72,70,70,70,71,71,69,67,34,32
Cedric Paquette,Dallas,25,74,72,73,74,72,67,72,72,71,70,72,45,42
Chad Ruhwedel,Toronto,28,67,69,68,73,72,75,70,72,72,72,68,39,35
Charles Hudon,Nashville,24,66,68,72,74,74,73,74,70,70,68,69,35,33
Charlie Coyle,Vancouver,26,73,73,78,77,74,72,74,76,76,70,73,56,52
Charlie McAvoy,Winnipeg,21,70,76,70,76,67,66,75,76,76,76,71,33,32
Chris Bigras,Detroit,23,65,68,69,73,73,70,70,66,67,66,65,33,31
Chris Kelly,Toronto,38,72,71,71,73,74,69,72,71,71,71,68,86,76
Chris Kreider,Tampa Bay,27,75,77,77,78,70,60,77,76,75,71,76,54,55
Chris Kunitz,Carolina,39,71,74,69,75,72,69,74,75,75,68,72,93,83
Chris Stewart,Dallas,31,77,72,79,73,70,49,73,70,70,67,69,72,65
Chris Tanev,Vancouver,29,66,76,73,80,64,79,76,73,74,80,67,56,51
Chris Thorburn,Islanders,35,78,66,80,74,70,55,69,71,71,70,70,83,74
Chris Tierney,San Jose,24,69,72,71,76,75,75,77,75,75,71,73,47,44
Chris Wagner,Calgary,27,71,72,76,76,72,72,72,71,72,68,70,41,39
Chris Wideman,Phoenix,29,72,72,71,72,73,72,74,72,72,73,68,40,38
Christian Djoos,Colorado,24,66,69,71,76,75,73,74,70,70,73,68,33,32
Christian Dvorak,Carolina,23,67,76,70,75,70,69,76,72,72,66,70,39,37
Christian Folin,Chicago,28,71,68,76,74,70,70,71,72,72,74,67,43,39
Christian Jaros,Tampa Bay,22,73,72,74,72,67,66,72,66,67,72,68,30,30
Christian Wolanin,Rangers,23,66,68,71,72,65,60,69,68,69,70,67,30,30
Christoph Bertschy,Columbus,24,64,67,69,73,73,70,70,65,66,65,66,31,30
Claude Giroux,Dallas,31,77,82,71,86,80,74,82,85,83,73,80,78,80
Clayton Keller,Anaheim,20,68,79,66,76,70,69,78,78,77,68,73,34,33
Cody Ceci,Tampa Bay,25,75,71,77,77,75,75,73,73,72,73,73,52,49
Cody Eakin,LosAngeles,27,73,77,71,76,75,74,75,75,75,69,73,59,54
Cody Franson,Islanders,31,71,70,75,74,70,75,70,72,73,74,70,66,60
Cody McLeod,San Jose,34,83,69,78,75,76,38,69,69,69,69,67,78,70
Colin Miller,Colorado,26,73,73,73,79,74,68,73,78,76,75,71,41,39
Colin Wilson,St. Louis,29,71,74,76,75,67,76,74,73,73,67,72,66,60
Colton Parayko,Carolina,25,73,71,81,79,80,75,74,77,77,77,73,44,42
Colton Sceviour,San Jose,29,69,74,71,75,70,75,74,73,73,70,73,52,47
Colton Sissons,Colorado,25,74,72,73,76,71,75,74,74,73,70,72,42,39
Connor Brickley,San Jose,26,69,71,72,72,69,68,70,70,70,67,69,34,33
Connor Brown,New Jersey,25,73,75,68,75,70,74,75,74,74,72,74,40,38
Connor Carrick,Islanders,24,70,72,71,74,72,68,71,71,73,72,69,41,38
Connor McDavid,Edmonton,22,71,90,70,88,75,72,91,94,93,70,83,42,50
Connor Murphy,Montreal,25,72,73,75,76,76,67,72,73,72,71,69,51,47
Conor Sheary,Chicago,26,69,77,68,76,70,72,75,75,74,70,74,41,39
Corey Perry,Islanders,33,80,76,80,82,79,60,77,78,79,73,76,91,87
Cory Conacher,Pittsburgh,29,70,77,64,73,71,69,77,74,73,65,70,43,40
Craig Smith,Montreal,29,72,75,73,77,78,73,75,74,76,70,75,62,58
Curtis Lazar,Pittsburgh,24,73,75,70,70,70,71,73,71,71,69,71,45,42
Curtis McKenzie,St. Louis,27,72,71,74,74,72,63,72,71,71,69,71,37,34
Curtis Valk,Nashville,26,64,68,62,70,68,62,68,67,67,66,66,30,30
Dale Weise,Montreal,30,76,74,74,75,72,66,73,70,70,69,69,59,53
Damon Severson,Nashville,24,68,72,73,77,77,74,77,77,75,73,73,47,44
Dan Hamhuis,Edmonton,36,70,74,74,78,66,71,73,75,75,78,66,96,87
Danick Martel,Detroit,24,63,68,62,69,65,68,66,67,68,64,67,30,30
Daniel Brickley,Carolina,23,67,72,74,73,67,65,72,65,65,70,60,30,30
Daniel Carr,Columbus,27,70,72,74,71,69,68,72,70,70,68,70,36,34
Daniel Catenacci,St. Louis,25,64,71,64,69,68,68,70,70,70,66,69,31,30
Daniel Girardi,Anaheim,34,76,70,78,78,83,80,70,73,75,78,68,86,77
Daniel Sprong,Colorado,21,67,74,70,74,68,71,75,70,70,67,70,31,30
Daniel Winnik,Montreal,33,72,73,75,75,75,76,73,73,72,72,70,81,73
Danny Dekeyser,Montreal,28,68,75,74,76,73,72,75,73,73,75,70,54,50
Danton Heinen,Minnesota,23,72,73,73,75,70,69,74,73,73,70,72,35,33
Darnell Nurse,Buffalo,24,70,76,76,78,75,74,78,75,74,74,70,42,39
Darren Helm,St. Louis,32,75,80,69,76,64,81,80,73,72,75,72,68,61
David Backes,Pittsburgh,34,79,72,80,78,72,56,72,74,73,74,71,85,77
David Booth,Ottawa,34,64,75,70,72,50,74,76,69,69,67,69,66,59
David Desharnais,LosAngeles,32,69,80,58,75,73,76,80,76,75,69,72,65,58
David Krejci,Montreal,32,75,78,70,82,69,77,79,82,81,74,73,80,77
David Pastrnak,Rangers,22,71,78,70,82,75,75,78,83,84,71,83,45,43
David Perron,Montreal,30,74,79,71,79,72,63,78,79,79,69,74,77,69
David Savard,LosAngeles,28,69,75,74,77,73,70,75,77,74,76,70,56,51
David Schlemko,Boston,31,67,71,71,74,70,74,71,72,73,73,69,58,51
Dean Kukan,Colorado,25,69,69,71,72,70,68,68,69,67,69,66,31,30
Dennis Rasmussen,Detroit,28,71,67,71,70,70,66,67,70,70,70,69,39,37
Dennis Seidenberg,St. Louis,37,71,71,75,77,72,72,71,72,73,76,69,88,77
Derek Forbort,Columbus,26,77,70,77,76,72,69,69,72,72,76,66,41,39
Derek Stepan,Florida,28,66,76,71,80,77,78,77,81,80,70,73,68,67
Derick Brassard,Columbus,31,70,77,72,78,76,72,77,77,77,70,74,76,69
Derrick Pouliot,Pittsburgh,25,72,72,71,72,70,68,73,72,72,71,68,39,36
Deryk Engelland,Washington,36,79,70,79,76,66,68,70,72,71,78,69,66,65
Devante Smith-Pelly,Islanders,26,75,73,77,75,69,71,73,71,71,68,70,53,48
Devin Shore,Rangers,24,70,73,72,75,77,76,77,73,72,68,72,40,38
Dillon Heatherington,Dallas,23,61,69,67,72,72,71,71,64,67,67,63,30,30
Dion Phaneuf,Nashville,33,78,71,78,78,78,60,70,72,72,75,69,93,84
Dmitrij Jaskin,Islanders,25,73,71,74,76,72,74,71,71,71,74,67,48,43
Dmitry Kulikov,Pittsburgh,28,69,76,73,77,74,68,76,75,76,76,70,67,60
Dmitry Orlov,Edmonton,27,72,74,74,79,82,75,75,77,76,77,72,53,49
Dominic Toninato,New Jersey,24,73,66,73,68,66,75,67,69,64,68,69,31,31
Dominic Turgeon,Vancouver,22,69,69,73,73,68,68,69,69,69,65,67,30,30
Dominik Simon,Colorado,24,69,75,69,75,73,69,73,74,73,69,70,33,31
Dougie Hamilton,San Jose,25,73,72,77,78,72,73,74,80,81,74,78,56,52
Drake Caggiula,Washington,24,66,77,66,76,74,75,77,75,74,66,70,37,36
Drew Doughty,Chicago,29,78,81,73,87,78,67,81,83,83,81,77,79,77
Drew Stafford,Vancouver,33,69,73,74,74,74,74,73,74,73,69,71,81,73
Duncan Keith,Edmonton,35,73,79,74,86,80,76,79,80,80,83,72,94,89
Duncan Siemens,Chicago,25,71,67,72,68,69,63,67,68,68,71,65,32,30
Dustin Brown,Tampa Bay,34,76,75,74,77,76,67,76,77,76,71,76,97,87
Dylan Demelo,Calgary,25,70,71,74,75,67,71,72,73,72,72,68,38,36
Dylan Larkin,Carolina,22,72,83,73,78,83,68,83,78,79,71,74,44,47
Elias Lindholm,New Jersey,24,72,73,72,78,74,74,76,78,77,70,74,53,49
Eric Fehr,Anaheim,33,70,67,75,74,58,75,69,72,72,72,72,71,61
Eric Gryba,Montreal,29,78,65,80,75,72,58,65,71,71,76,62,49,45
Eric Staal,Colorado,34,74,76,78,84,84,68,76,79,79,68,74,99,90
Erik Gudbranson,Colorado,27,75,72,78,76,69,65,72,71,71,76,60,55,50
Erik Gustafsson,Colorado,26,71,72,71,77,70,66,69,77,75,75,73,35,33
Erik Haula,San Jose,27,70,78,70,76,71,73,77,76,75,73,76,51,48
Erik Johnson,Anaheim,30,72,76,78,79,59,70,75,76,75,76,74,71,69
Erik Karlsson,Dallas,28,72,83,67,86,78,69,84,93,86,77,80,70,64
Esa Lindell,Buffalo,24,68,73,75,78,77,73,76,75,74,77,72,39,37
Ethan Bear,Minnesota,21,69,66,68,68,60,71,60,68,67,63,68,30,30
Evan Rodrigues,Detroit,25,69,73,69,74,67,67,73,73,72,67,70,35,33
Evander Kane,Pittsburgh,27,81,79,77,81,60,57,78,75,78,68,78,67,61
Evgeni Malkin,New Jersey,32,74,77,78,84,60,64,77,90,93,68,82,81,78
Evgeny Dadonov,Montreal,29,70,77,70,80,77,80,77,79,80,71,79,39,36
Evgeny Kuznetsov,Minnesota,26,71,80,70,78,76,68,80,85,83,71,76,51,48
Filip Chlapik,Tampa Bay,21,64,69,70,68,67,68,73,71,69,63,63,30,30
Filip Forsberg,Minnesota,24,71,81,71,81,75,72,79,80,81,72,78,51,52
Frank Vatrano,St. Louis,24,67,70,71,76,73,70,76,74,73,68,74,38,36
Frans Nielsen,Colorado,34,67,78,66,80,76,80,77,78,77,73,73,80,77
Freddie Hamilton,Ottawa,27,66,73,70,73,72,76,72,71,72,68,69,37,33
Frederick Gaudreau,Edmonton,25,68,70,73,76,76,75,73,69,71,69,68,32,30
Frederik Gauthier,Montreal,23,74,69,77,76,72,57,68,68,72,70,69,33,31
Fredrik Claesson,Colorado,26,68,72,72,72,71,74,72,73,72,75,68,37,35
Gabriel Bourque,Buffalo,28,70,76,70,75,76,82,76,71,71,68,71,51,46
Gabriel Landeskog,Nashville,26,74,76,74,80,73,63,76,80,81,70,78,62,67
Garnet Hathaway,Nashville,27,68,70,70,74,75,75,75,71,70,67,70,37,34
Gemel Smith,Islanders,24,70,74,72,74,71,72,74,69,70,70,69,34,32
Greg McKegg,Washington,26,66,72,71,73,70,68,71,70,71,67,70,37,34
Greg Pateryn,Philly,28,75,68,76,75,70,67,68,71,71,75,65,42,38
Gustav Nyquist,Winnipeg,29,69,79,68,78,74,77,79,77,77,70,76,57,52
Gustav Olofsson,Detroit,24,65,69,69,73,72,71,71,64,69,69,63,34,32
Hampus Lindholm,Minnesota,25,72,76,76,78,74,71,76,78,78,78,73,53,49
Haydn Fleury,Buffalo,22,67,73,69,75,75,69,73,69,69,68,67,33,32
Henrik Borgstrom,Toronto,21,72,72,73,74,72,71,65,73,69,73,68,30,30
Henrik Haapala,Nashville,24,63,71,52,65,60,67,70,69,69,61,66,30,30
Henrik Zetterberg,Ottawa,38,69,75,67,78,68,79,75,78,77,74,74,99,90
Hudson Fasching,New Jersey,23,69,69,74,73,68,66,69,70,69,65,69,32,30
Ian Cole,Edmonton,29,75,72,76,78,72,72,73,71,72,77,65,57,51
Ian McCoshen,Minnesota,23,67,69,73,62,72,69,71,69,65,61,64,32,31
Iiro Pakarinen,LosAngeles,27,66,72,71,75,70,73,71,70,70,66,70,39,36
Ivan Barbashev,Toronto,23,70,71,72,75,67,68,71,70,70,69,70,35,33
Ivan Provorov,Anaheim,22,70,77,71,77,75,69,78,76,75,75,70,39,38
J.T. Brown,Florida,28,73,73,70,74,74,74,73,71,72,68,70,50,46
JT Compher,Vancouver,23,69,76,70,76,68,69,76,74,73,67,72,35,34
JT Miller,Pittsburgh,25,75,76,75,78,74,72,76,77,76,73,76,53,49
Jaccob Slavin,San Jose,24,68,75,76,80,74,76,76,77,76,79,71,43,41
Jack Eichel,Carolina,22,73,78,76,82,70,73,77,81,81,69,77,42,50
Jack Johnson,Winnipeg,32,74,77,74,78,80,72,77,74,74,72,71,81,78
Jack Roslovic,Minnesota,22,68,71,70,74,68,72,70,71,71,69,68,32,30
Jacob De La Rose,Winnipeg,23,66,71,72,74,74,71,76,70,71,68,69,38,35
Jacob Trouba,New Jersey,24,74,75,77,82,66,66,76,78,76,80,72,50,47
Jaden Schwartz,Carolina,26,70,77,70,77,72,77,77,79,77,73,78,55,55
Jake DeBrusk,San Jose,22,69,75,72,75,69,67,75,73,73,69,73,33,32
Jake Dotchin,Colorado,24,71,70,73,75,74,70,72,67,69,70,68,35,33
Jake Gardiner,Montreal,28,70,77,70,79,77,75,77,79,79,77,72,61,56
Jake Guentzel,Anaheim,24,70,77,74,77,77,69,77,75,76,70,76,37,35
Jake McCabe,New Jersey,25,72,70,73,76,70,70,70,73,72,74,72,44,41
Jake Muzzin,Montreal,29,77,70,78,79,74,72,71,79,78,77,72,59,54
Jake Virtanen,Buffalo,22,68,74,69,76,75,65,74,75,75,68,72,38,36
Jakob Chychrun,Buffalo,20,67,70,73,75,73,65,70,70,70,74,69,36,35
Jakob Silfverberg,LosAngeles,28,69,77,71,77,77,75,77,76,75,73,75,56,52
Jakub Voracek,Boston,29,70,78,77,81,77,72,78,85,82,70,76,78,71
Jakub Vrana,Nashville,22,69,72,71,76,70,69,72,75,75,69,73,35,34
James Neal,Vancouver,31,73,74,76,78,66,67,74,75,77,70,78,75,68
James van Riemsdyk,Montreal,29,69,74,76,79,73,72,74,79,79,68,80,69,63
Jamie Benn,San Jose,29,78,80,80,84,83,63,80,87,82,71,84,72,76
Jamie McGinn,Vancouver,30,72,74,73,77,65,73,74,73,74,72,74,69,62
Jamie Oleksiak,Edmonton,26,74,67,79,73,71,70,71,70,70,73,68,43,39
Jannik Hansen,Nashville,32,67,75,72,73,65,70,75,71,71,70,71,72,64
Jared Boll,Islanders,32,85,69,80,73,67,35,70,69,69,69,62,69,61
Jared McCann,St. Louis,22,66,72,73,75,74,70,76,72,71,68,70,40,38
Jared Spurgeon,Rangers,29,63,79,63,79,68,78,79,78,78,76,74,63,57
Jaromir Jagr,Winnipeg,46,66,69,75,76,76,73,69,76,76,62,73,99,99
Jason Chimera,Ottawa,39,70,73,73,73,78,70,73,70,70,68,69,99,91
Jason Demers,Chicago,30,74,75,72,76,65,60,75,74,74,75,73,67,61
Jason Dickinson,Winnipeg,23,69,71,70,74,68,69,71,70,70,68,69,33,31
Jason Garrison,Vancouver,34,70,69,76,75,76,73,69,71,70,73,69,66,59
Jason Pominville,Columbus,36,67,77,68,78,77,86,76,75,75,70,73,94,84
Jason Spezza,Dallas,35,66,74,74,79,66,77,74,78,78,67,73,95,89
Jason Zucker,Vancouver,27,71,79,69,78,78,69,78,78,78,72,78,52,47
Jay Beagle,Vancouver,33,74,70,77,76,69,74,72,71,71,73,70,62,55
Jay Bouwmeester,Dallas,35,68,76,76,77,70,76,76,72,71,76,68,99,91
Jayson Megna,Chicago,29,69,73,71,74,71,74,73,72,73,69,70,39,35
Jean-Gabriel Pageau,Chicago,26,67,77,68,76,71,74,76,75,74,71,73,51,47
Jean-Sebastien Dea,Detroit,25,65,68,68,74,75,74,72,67,67,66,67,30,30
Jeff Carter,Anaheim,34,73,77,75,80,70,69,77,80,81,73,79,88,84
Jeff Petry,Philly,31,74,74,76,79,70,72,74,79,78,76,73,64,58
Jeff Skinner,LosAngeles,26,72,82,70,77,74,74,82,77,80,66,81,66,61
Jesper Bratt,San Jose,20,71,75,65,75,68,71,75,73,74,67,70,33,32
Jesper Fast,Minnesota,27,68,76,69,75,70,73,76,74,73,69,73,48,50
Jesse Puljujarvi,Calgary,20,68,71,74,73,64,70,72,71,71,68,70,35,34
Jimmy Hayes,Dallas,29,72,69,80,73,71,75,72,72,72,66,72,52,48
Jimmy Vesey,Rangers,25,69,73,73,75,70,72,73,74,73,70,72,39,38
Joakim Ryan,Nashville,25,66,69,72,75,74,67,70,72,71,73,69,33,32
Joe Hicketts,Carolina,22,66,70,64,69,68,74,69,69,67,72,69,30,30
Joe Pavelski,Vancouver,34,72,80,72,82,82,75,81,81,80,74,80,87,88
Joe Thornton,Islanders,39,70,70,80,80,80,71,71,82,81,73,72,99,99
Joel Armia,Vancouver,25,73,72,74,73,74,72,71,71,73,68,70,42,39
Joel Edmundson,Florida,25,75,70,77,76,70,59,69,70,70,75,69,42,40
Joel Ward,Anaheim,38,74,72,77,75,74,74,74,73,73,71,71,78,70
Johan Larsson,Calgary,26,69,72,71,75,69,73,72,73,73,69,71,47,43
