name,teamName,jersey,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,ht,wt
Alex Killorn,Islanders,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,73,198
Alex Pietrangelo,Washington,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,75,210
Alex Tuch,Tampa Bay,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,76,220
Alexander Edler,Columbus,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,75,212
Alexander Nylander,St. Louis,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,73,192
Alexander Radulov,Chicago,47,34,0,0,0,0,0,0,0,0,0,0,0,0,0,73,205
Alexander Semin,Chicago,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,74,211
Alexander Steen,Florida,56,36,0,0,0,0,0,0,0,0,0,0,0,0,0,72,211
Alexandre Carrier,Rangers,31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,71,174
Alexei Emelin,Columbus,45,34,0,0,0,0,0,0,0,0,0,0,0,0,0,74,218
Anders Bjork,Pittsburgh,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,72,190
Anders Lee,Pittsburgh,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,75,231
Andre Benoit,Islanders,62,37,0,0,0,0,0,0,0,0,0,0,0,0,0,71,190
Andre Burakovsky,Carolina,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,75,201
Andreas Athanasiou,Rangers,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,74,188
Andreas Borgman,Montreal,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,72,199
Andreas Englund,Buffalo,35,24,0,0,0,0,0,0,0,0,0,0,0,0,0,75,189
Andrei Loktionov,Philly,78,30,0,0,0,0,0,0,0,0,0,0,0,0,0,71,190
Andrei Markov,San Jose,79,42,0,0,0,0,0,0,0,0,0,0,0,0,0,72,200
Andrei Svechnikov,Phoenix,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,74,195
Andrej Nestrasil,Toronto,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,75,200
Andrej Sekera,Florida,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,72,195
Andrej Sustr,LosAngeles,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,79,217
Andrew Cogliano,Buffalo,40,33,0,0,0,0,0,0,0,0,0,0,0,0,0,70,175
Andrew Copp,Buffalo,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,73,206
Andrew Desjardins,Islanders,49,34,0,0,0,0,0,0,0,0,0,0,0,0,0,73,195
Andrew Ladd,Montreal,24,35,0,0,0,0,0,0,0,0,0,0,0,0,0,75,192
Andrew MacDonald,Montreal,57,34,0,0,0,0,0,0,0,0,0,0,0,0,0,73,204
Andrew MacWilliam,Winnipeg,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,74,223
Andrew Mangiapane,Phoenix,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,70,184
Andrew Poturalski,Calgary,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,70,183
Andrew Shaw,Boston,70,29,0,0,0,0,0,0,0,0,0,0,0,0,0,71,182
Andy Greene,Boston,17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,71,190
Andy Welinski,Pittsburgh,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,73,201
Anthony Angello,Colorado,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,77,210
Anthony Beauvillier,Pittsburgh,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,71,182
Anthony Bitetto,Vancouver,84,30,0,0,0,0,0,0,0,0,0,0,0,0,0,73,210
Anthony Cirelli,Colorado,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,72,193
Anthony DeAngelo,Philly,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,71,180
Anthony Duclair,Boston,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,71,198
Anthony Mantha,Edmonton,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,77,234
Anthony Peluso,Florida,74,31,0,0,0,0,0,0,0,0,0,0,0,0,0,75,225
Anthony Richard,Edmonton,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,70,163
Antoine Roussel,Ottawa,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,71,199
Anton Blidh,Nashville,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,72,201
Anton Lander,Phoenix,62,29,0,0,0,0,0,0,0,0,0,0,0,0,0,72,184
Anton Rodin,Boston,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,71,186
Anton Slepyshev,LosAngeles,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,74,221
Anton Stralman,Carolina,66,34,0,0,0,0,0,0,0,0,0,0,0,0,0,71,186
Antti Suomela,New Jersey,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,72,180
Anze Kopitar,Carolina,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,75,225
Artem Anisimov,Montreal,53,32,0,0,0,0,0,0,0,0,0,0,0,0,0,76,199
Artemi Panarin,Carolina,39,29,0,0,0,0,0,0,0,0,0,0,0,0,0,71,170
Artturi Lehkonen,Washington,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,72,176
Austin Czarnik,LosAngeles,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,69,170
Austin Wagner,Toronto,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,73,185
Austin Watson,Dallas,53,29,0,0,0,0,0,0,0,0,0,0,0,0,0,76,204
Auston Matthews,Toronto,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,75,220
Barclay Goodrow,Philly,89,27,0,0,0,0,0,0,0,0,0,0,0,0,0,74,215
Ben Chiarot,Ottawa,63,29,0,0,0,0,0,0,0,0,0,0,0,0,0,75,225
Ben Harpur,San Jose,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,78,231
Ben Hutton,Montreal,45,27,0,0,0,0,0,0,0,0,0,0,0,0,0,74,206
Ben Thomson,Winnipeg,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,75,205
Benoit Pouliot,San Jose,67,34,0,0,0,0,0,0,0,0,0,0,0,0,0,75,200
Bill Arnold,LosAngeles,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,72,193
Blake Coleman,Ottawa,65,29,0,0,0,0,0,0,0,0,0,0,0,0,0,71,200
Blake Comeau,Toronto,65,34,0,0,0,0,0,0,0,0,0,0,0,0,0,73,200
Blake Pietila,Philly,12,27,0,0,0,0,0,0,0,0,0,0,0,0,0,71,200
Blake Speers,Minnesota,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,71,185
Blake Wheeler,Boston,41,34,0,0,0,0,0,0,0,0,0,0,0,0,0,77,225
Bo Horvat,Chicago,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,72,215
Bobby Butler,Calgary,35,33,0,0,0,0,0,0,0,0,0,0,0,0,0,72,189
Bobby Ryan,Tampa Bay,37,33,0,0,0,0,0,0,0,0,0,0,0,0,0,74,208
Bogdan Kiselevich,Washington,36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,72,202
Boone Jenner,Winnipeg,38,27,0,0,0,0,0,0,0,0,0,0,0,0,0,74,208
Brad Boyes,Nashville,33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,72,199
Brad Hunt,Tampa Bay,63,32,0,0,0,0,0,0,0,0,0,0,0,0,0,69,176
Brad Marchand,Edmonton,67,32,0,0,0,0,0,0,0,0,0,0,0,0,0,69,181
Brad Richardson,Carolina,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,72,190
Brady Skjei,Anaheim,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,75,210
Brady Tkachuk,Chicago,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,75,212
Brandon Carlo,Columbus,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,77,212
Brandon Dubinsky,Florida,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,74,208
Brandon Montour,Nashville,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,72,189
Brandon Pirri,Philly,38,29,0,0,0,0,0,0,0,0,0,0,0,0,0,72,180
Brandon Saad,Minnesota,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,73,206
Brandon Sutter,Tampa Bay,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,75,190
Brandon Tanev,Toronto,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,72,180
Brayden McNabb,LosAngeles,80,29,0,0,0,0,0,0,0,0,0,0,0,0,0,76,213
Brayden Point,Florida,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,70,166
Brayden Schenn,New Jersey,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,73,200
Braydon Coburn,Chicago,60,35,0,0,0,0,0,0,0,0,0,0,0,0,0,77,224
Brendan Gallagher,Boston,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,69,184
Brendan Gaunce,San Jose,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,74,217
Brendan Guhle,Tampa Bay,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,74,197
Brendan Leipsic,Pittsburgh,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,70,180
Brendan Lemieux,Colorado,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,73,213
Brendan Perlini,LosAngeles,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,75,211
Brendan Smith,Dallas,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,74,200
Brenden Dillon,St. Louis,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,76,225
Brent Burns,Anaheim,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,77,230
Brent Seabrook,Dallas,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,75,220
Brett Bulmer,Philly,56,28,0,0,0,0,0,0,0,0,0,0,0,0,0,76,212
Brett Connolly,LosAngeles,34,28,0,0,0,0,0,0,0,0,0,0,0,0,0,75,192
Brett Howden,Detroit,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,74,197
Brett Kulak,Vancouver,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,74,190
Brett Lernout,Carolina,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,76,214
Brett Pesce,Anaheim,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,75,206
Brett Seney,St. Louis,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,69,156
Brian Boyle,Columbus,35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,78,245
Brian Dumoulin,Carolina,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,76,207
Brian Gibbons,Ottawa,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,68,175
Brock Boeser,Washington,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,73,208
Brock McGinn,Islanders,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,72,187
Brock Nelson,San Jose,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,75,212
Bryan Little,Chicago,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,72,191
Bryan Rust,Boston,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,71,192
C.J. Smith,Montreal,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,71,181
Cal Clutterbuck,Vancouver,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,71,216
Cal O'Reilly,Phoenix,52,34,0,0,0,0,0,0,0,0,0,0,0,0,0,72,188
Caleb Jones,Tampa Bay,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,73,194
Calle Jarnkrok,Tampa Bay,72,29,0,0,0,0,0,0,0,0,0,0,0,0,0,71,186
Calvin De Haan,Pittsburgh,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,73,195
Cam Atkinson,Carolina,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,68,175
Cam Fowler,Anaheim,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,73,207
Cameron Gaunce,Edmonton,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,74,204
Carl Dahlstrom,Buffalo,41,25,0,0,0,0,0,0,0,0,0,0,0,0,0,76,231
Carl Gunnarsson,Tampa Bay,44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,74,198
Carl Hagelin,Columbus,65,32,0,0,0,0,0,0,0,0,0,0,0,0,0,71,185
Carl Soderberg,Florida,23,35,0,0,0,0,0,0,0,0,0,0,0,0,0,75,210
Carson Soucy,Edmonton,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,77,210
Carter Verhaeghe,New Jersey,41,25,0,0,0,0,0,0,0,0,0,0,0,0,0,73,180
Casey Cizikas,Boston,71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,71,195
Casey Mittelstadt,Anaheim,39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,73,199
Casey Nelson,Calgary,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,73,185
Cedric Paquette,Dallas,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,73,204
Chandler Stephenson,Ottawa,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,72,208
Charles Hudon,Nashville,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,70,190
Charlie Coyle,Vancouver,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,75,220
Charlie McAvoy,Winnipeg,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,72,208
Chase De Leo,Florida,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,69,186
Chris Bigras,Detroit,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,73,191
Chris Bourque,Tampa Bay,58,34,0,0,0,0,0,0,0,0,0,0,0,0,0,68,174
Chris Kreider,Tampa Bay,71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,75,217
Chris Stewart,Anaheim,38,33,0,0,0,0,0,0,0,0,0,0,0,0,0,74,242
Chris Terry,Florida,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,70,191
Chris Tierney,San Jose,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,73,195
Chris Wagner,Calgary,80,29,0,0,0,0,0,0,0,0,0,0,0,0,0,72,198
Chris Wideman,Toronto,59,31,0,0,0,0,0,0,0,0,0,0,0,0,0,70,190
Christian Djoos,Colorado,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,72,180
Christian Dvorak,Carolina,45,24,0,0,0,0,0,0,0,0,0,0,0,0,0,72,195
Christian Fischer,Islanders,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,74,214
Christian Folin,Montreal,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,75,204
Christian Jaros,Tampa Bay,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,75,222
Christian Thomas,Dallas,60,28,0,0,0,0,0,0,0,0,0,0,0,0,0,69,175
Christian Wolanin,Tampa Bay,42,25,0,0,0,0,0,0,0,0,0,0,0,0,0,74,185
Christoffer Ehn,Boston,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,75,195
Clark Bishop,Vancouver,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,72,199
Claude Giroux,Florida,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,71,185
Clayton Keller,Anaheim,35,22,0,0,0,0,0,0,0,0,0,0,0,0,0,70,170
Clayton Stoner,Minnesota,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,76,216
Cody Ceci,Chicago,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,74,210
Cody Eakin,St. Louis,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,72,183
Cody Franson,Montreal,35,33,0,0,0,0,0,0,0,0,0,0,0,0,0,77,224
Cody Goloubef,St. Louis,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,73,190
Cody McLeod,Montreal,65,36,0,0,0,0,0,0,0,0,0,0,0,0,0,74,204
Colin Miller,Colorado,63,28,0,0,0,0,0,0,0,0,0,0,0,0,0,73,193
Colin Smith,LosAngeles,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,70,185
Colin White,Rangers,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,72,191
Colin Wilson,St. Louis,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,73,215
Colton Parayko,Edmonton,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,78,230
Colton Sceviour,San Jose,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,72,190
Colton Sissons,Colorado,40,27,0,0,0,0,0,0,0,0,0,0,0,0,0,73,200
Connor Brickley,LosAngeles,86,28,0,0,0,0,0,0,0,0,0,0,0,0,0,72,203
Connor Brown,Tampa Bay,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,72,186
Connor Carrick,Islanders,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,70,192
Connor Clifton,LosAngeles,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,71,175
Connor McDavid,Edmonton,97,24,0,0,0,0,0,0,0,0,0,0,0,0,0,73,193
Connor Murphy,Montreal,41,27,0,0,0,0,0,0,0,0,0,0,0,0,0,76,212
Conor Garland,Colorado,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,70,165
Conor Sheary,Pittsburgh,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,68,179
Cooper Marody,Rangers,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,72,184
Corey Perry,Montreal,63,35,0,0,0,0,0,0,0,0,0,0,0,0,0,75,205
Corey Tropp,Tampa Bay,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,72,192
Craig Smith,Pittsburgh,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,73,208
Curtis Lazar,Pittsburgh,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,72,211
Curtis McKenzie,St. Louis,50,29,0,0,0,0,0,0,0,0,0,0,0,0,0,74,205
Curtis Valk,Nashville,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,69,170
Dalton Prout,Boston,72,30,0,0,0,0,0,0,0,0,0,0,0,0,0,75,215
Damon Severson,Nashville,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,74,205
Dan Hamhuis,Edmonton,22,38,0,0,0,0,0,0,0,0,0,0,0,0,0,73,204
Daniel Brickley,Carolina,42,25,0,0,0,0,0,0,0,0,0,0,0,0,0,75,203
Daniel Carr,Columbus,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0,72,193
Daniel Sprong,Minnesota,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,72,191
Daniel Winnik,Montreal,44,35,0,0,0,0,0,0,0,0,0,0,0,0,0,74,210
Danny Dekeyser,Philly,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,75,190
Danton Heinen,Minnesota,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,73,188
Darnell Nurse,Buffalo,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,76,221
Darren Archibald,Phoenix,53,30,0,0,0,0,0,0,0,0,0,0,0,0,0,75,210
Darren Dietz,Chicago,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,73,201
Darren Helm,St. Louis,73,33,0,0,0,0,0,0,0,0,0,0,0,0,0,72,192
David Backes,Edmonton,48,36,0,0,0,0,0,0,0,0,0,0,0,0,0,75,215
David Booth,Ottawa,50,36,0,0,0,0,0,0,0,0,0,0,0,0,0,72,212
David Desharnais,Montreal,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,67,180
David Kampf,San Jose,23,26,0,0,0,0,0,0,0,0,0,0,0,0,0,74,188
David Krejci,New Jersey,49,34,0,0,0,0,0,0,0,0,0,0,0,0,0,72,188
David Musil,LosAngeles,88,27,0,0,0,0,0,0,0,0,0,0,0,0,0,76,207
David Pastrnak,Rangers,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,72,194
David Perron,Florida,62,32,0,0,0,0,0,0,0,0,0,0,0,0,0,72,200
David Rundblad,Pittsburgh,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,74,187
David Savard,Columbus,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,74,229
David Schlemko,Islanders,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,73,191
Dean Kukan,Colorado,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,74,192
Denis Malgin,Nashville,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,69,177
Dennis Cholowski,Philly,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,72,197
Dennis Everberg,Philly,46,29,0,0,0,0,0,0,0,0,0,0,0,0,0,76,205
Dennis Gilbert,Columbus,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,74,216
Dennis Rasmussen,Detroit,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,75,192
Derek Forbort,Columbus,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,76,219
Derek Grant,Columbus,57,30,0,0,0,0,0,0,0,0,0,0,0,0,0,75,206
Derek Ryan,New Jersey,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,71,185
Derek Stepan,Pittsburgh,39,30,0,0,0,0,0,0,0,0,0,0,0,0,0,72,196
Derick Brassard,Columbus,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,73,202
Derrick Pouliot,Pittsburgh,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,72,196
Deryk Engelland,Washington,10,38,0,0,0,0,0,0,0,0,0,0,0,0,0,74,212
Devante Smith-Pelly,Islanders,77,28,0,0,0,0,0,0,0,0,0,0,0,0,0,72,223
Devin Shore,Rangers,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,72,206
Devon Toews,Washington,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,73,191
Dillon Heatherington,Dallas,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,76,225
Dion Phaneuf,Nashville,47,35,0,0,0,0,0,0,0,0,0,0,0,0,0,75,222
Dmitrij Jaskin,Montreal,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,74,216
Dmitry Kulikov,Chicago,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,73,204
Dmitry Orlov,Pittsburgh,81,29,0,0,0,0,0,0,0,0,0,0,0,0,0,71,208
Dmytro Timashov,Minnesota,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,70,192
Dominic Toninato,New Jersey,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,74,191
Dominic Turgeon,Vancouver,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,74,200
Dominik Kahun,Carolina,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,71,175
Dominik Kubalik,New Jersey,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,74,179
Dominik Simon,Colorado,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,71,190
Dougie Hamilton,San Jose,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,78,229
Drake Caggiula,Washington,34,26,0,0,0,0,0,0,0,0,0,0,0,0,0,70,176
Drew Doughty,New Jersey,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,73,202
Drew Shore,Boston,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,75,205
Drew Stafford,Vancouver,41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,74,215
Duncan Keith,Edmonton,12,37,0,0,0,0,0,0,0,0,0,0,0,0,0,73,192
Duncan Siemens,Chicago,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,75,210
Dustin Brown,Carolina,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,72,210
Dustin Byfuglien,Rangers,38,35,0,0,0,0,0,0,0,0,0,0,0,0,0,77,260
Dwight King,Washington,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,76,229
Dylan Demelo,New Jersey,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,73,191
Dylan Larkin,Carolina,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,73,198
Dylan McIlrath,Buffalo,42,28,0,0,0,0,0,0,0,0,0,0,0,0,0,77,231
Dylan Olsen,LosAngeles,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,74,223
Dylan Sikura,Winnipeg,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,71,166
Dylan Strome,Nashville,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,75,200
Elias Lindholm,New Jersey,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,73,195
Elias Pettersson,St. Louis,35,22,0,0,0,0,0,0,0,0,0,0,0,0,0,74,176
Emerson Etem,Winnipeg,65,28,0,0,0,0,0,0,0,0,0,0,0,0,0,73,212
Eric Fehr,Anaheim,57,35,0,0,0,0,0,0,0,0,0,0,0,0,0,76,209
Eric Staal,Anaheim,25,36,0,0,0,0,0,0,0,0,0,0,0,0,0,76,206
Erik Cernak,Winnipeg,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,75,233
Erik Condra,Tampa Bay,41,34,0,0,0,0,0,0,0,0,0,0,0,0,0,71,185
Erik Gudbranson,Colorado,84,29,0,0,0,0,0,0,0,0,0,0,0,0,0,77,217
Erik Gustafsson,Colorado,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,72,197
Erik Haula,San Jose,57,29,0,0,0,0,0,0,0,0,0,0,0,0,0,72,193
