name,position,hand,height,weight,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,salary,contractLength,birthPlace,TeamName
Tobias Lindberg,RW,L,75,200,23,64,68,74,63,72,74,74,69,68,67,69,25,25,750000,4,SWE,SJ
Jesper Bratt,LW,L,69,175,20,71,75,65,75,68,71,75,73,74,67,70,25,25,1000000,4,SWE,SJ
Brett Seney,LW,L,68,156,23,65,70,63,74,69,65,70,70,70,68,69,25,25,750000,4,CAN,STL
C.J. Franklin,RW,L,71,190,24,69,69,69,65,74,68,72,66,68,69,68,25,25,750000,4,USA,STL
Gabriel Gagne,RW,R,76,186,22,64,72,75,63,71,73,71,66,66,69,69,25,25,750000,4,CAN,STL
Jake Evans,C,R,72,172,22,64,68,70,63,72,74,74,69,68,70,69,25,25,750000,4,CAN,STL
Jake Kupsky,G,L,77,210,23,65,72,76,73,66,65,72,66,68,0,0,25,25,600000,4,USA,STL
Linus Soderstrom,G,L,75,187,22,70,72,74,73,67,73,65,68,74,0,0,25,25,600000,4,SWE,STL
Pavel Zacha,C,L,75,210,21,71,72,74,75,68,69,72,73,72,70,70,25,25,1000000,4,CZE,STL
Jakub Zboril,D,L,72,184,22,67,65,70,64,69,73,70,69,69,64,67,25,25,750000,4,CZE,STL
Evan Cormier,G,R,74,214,21,63,77,73,67,63,64,74,72,76,0,0,25,25,600000,4,CAN,STL
Brad Morrison,C,L,72,170,22,64,72,69,73,72,71,67,75,69,64,64,25,25,750000,4,CAN,STL
Brendan Guhle,D,L,73,184,21,74,72,70,63,63,73,72,66,65,70,67,25,25,750000,4,CAN,TB
Caleb Jones,D,L,71,194,21,73,63,68,71,65,63,64,69,68,69,64,25,25,750000,4,USA,TB
Christian Jaros,D,R,75,201,22,73,72,74,72,67,66,72,66,67,72,68,25,25,1000000,4,SVK,TB
Filip Chlapik,C,L,73,196,21,64,69,70,68,67,68,73,71,69,63,63,25,25,750000,4,CZE,TB
Jonathan Dahlen,C,L,70,183,21,63,68,66,71,68,70,64,64,69,71,63,25,25,650000,4,SWE,TB
Nick Seeler,D,L,74,198,25,73,63,72,71,65,63,64,69,68,69,64,25,25,750000,4,USA,TB
Tage Thompson,C,R,77,195,21,72,68,76,74,63,65,71,68,70,66,69,25,25,750000,4,USA,TB
Beau Starrett,LW,L,76,197,23,73,68,75,67,64,71,73,67,68,68,66,25,25,750000,4,USA,TOR
Jakub Forsbacka,C,R,73,184,22,63,73,71,71,63,73,69,69,63,68,66,25,25,750000,4,SWE,TOR
Marcus Pettersson,D,L,75,177,22,73,71,73,74,67,66,72,71,71,74,69,35,35,1000000,4,SWE,TOR
Vladislav Kamenev,LW,L,74,203,22,72,68,73,63,64,63,71,66,67,64,70,25,25,750000,4,RUS,TOR
Sebastian Aho,D,L,70,170,23,64,66,69,72,64,72,65,69,70,68,63,25,25,750000,4,SWE,TOR
Austin Wagner,LW,L,73,178,21,70,75,70,73,68,69,75,70,69,68,69,25,25,1000000,4,CAN,TOR
Henrik Borgstrom,C,L,75,192,21,72,72,73,74,72,71,65,73,69,73,68,25,25,1000000,4,FIN,TOR
Alex DeBrincat,RW,R,67,165,21,64,77,63,78,72,70,77,76,77,67,79,35,35,1100000,4,USA,VAN
Lawson Crouse,LW,L,76,215,21,71,72,76,74,68,62,71,71,72,70,70,25,25,1000000,4,CAN,VAN
Brock Boeser,RW,R,73,208,22,69,75,70,78,64,70,74,76,77,69,78,35,35,1150000,4,USA,WAS
Aidan Muir,LW,R,75,182,23,72,66,74,73,66,69,63,68,66,67,65,25,25,750000,4,CAN,WPG
Brandon Hickey,D,L,73,177,22,69,70,70,69,68,64,68,68,66,66,65,25,25,750000,4,CAN,WPG
Connor Hurley,C,R,73,174,23,67,66,70,72,63,70,63,69,69,69,68,25,25,750000,4,USA,WPG
Dylan Sikura,C,L,71,149,23,67,73,68,73,66,65,70,70,63,68,66,25,25,750000,4,CAN,WPG
Ryan Collins,D,R,77,202,22,73,63,76,71,65,63,64,69,68,69,64,25,25,750000,4,USA,WPG
Travis Konecny,C,R,70,175,21,71,77,67,75,70,68,76,74,75,67,74,35,35,1100000,4,CAN,WPG
Charlie McAvoy,D,R,72,208,21,70,76,70,76,67,66,75,76,76,76,71,35,35,1100000,4,USA,WPG
